,flow
1934-04-30,75.8608
1934-05-31,89.3963
1934-06-30,116.2973
1934-07-31,87.4991
1934-08-31,45.1371
1934-09-30,18.7174
1934-10-31,5.4368
1934-11-30,5.5501
1934-12-31,4.1626
1935-01-31,6.2014
1935-02-28,33.244
1935-03-31,33.0174
1935-04-30,80.3066
1935-05-31,74.1901
1935-06-30,96.0791
1935-07-31,382.5606
1935-08-31,298.1764
1935-09-30,164.2944
1935-10-31,28.5717
1935-11-30,7.7305
1935-12-31,6.258
1936-01-31,11.8081
1936-02-29,20.1899
1936-03-31,21.4075
1936-04-30,190.3175
1936-05-31,382.2775
1936-06-30,197.2269
1936-07-31,297.0438
1936-08-31,263.7715
1936-09-30,163.6714
1936-10-31,38.6242
1936-11-30,13.1107
1936-12-31,11.8931
1937-01-31,13.8753
1937-02-28,16.2822
1937-03-31,19.5103
1937-04-30,25.5135
1937-05-31,177.7449
1937-06-30,188.1372
1937-07-31,241.3728
1937-08-31,306.9547
1937-09-30,103.3282
1937-10-31,24.7206
1937-11-30,8.9481
1937-12-31,8.3252
1938-01-31,15.7159
1938-02-28,33.2157
1938-03-31,203.5698
1938-04-30,66.403
1938-05-31,281.2146
1938-06-30,372.6497
1938-07-31,341.7844
1938-08-31,461.8478
1938-09-30,278.8077
1938-10-31,59.4937
1938-11-30,16.2822
1938-12-31,13.762
1939-01-31,19.3404
1939-02-28,26.901
1939-03-31,28.0054
1939-04-30,30.6388
1939-05-31,43.7779
1939-06-30,108.7367
1939-07-31,147.3326
1939-08-31,73.1424
1939-09-30,22.2004
1939-10-31,4.6723
1939-11-30,3.0016
1939-12-31,3.0582
1940-01-31,12.9691
1940-02-29,14.6115
1940-03-31,19.5669
1940-04-30,220.8148
1940-05-31,301.5745
1940-06-30,390.2062
1940-07-31,295.9111
1940-08-31,227.6675
1940-09-30,91.5484
1940-10-31,20.7846
1940-11-30,10.9586
1940-12-31,11.6099
1941-01-31,11.9214
1941-02-28,26.6462
1941-03-31,121.7341
1941-04-30,165.512
1941-05-31,247.2344
1941-06-30,212.4047
1941-07-31,214.9532
1941-08-31,323.6616
1941-09-30,131.3619
1941-10-31,37.3499
1941-11-30,12.9974
1941-12-31,10.0242
1942-01-31,13.4505
1942-02-28,30.4689
1942-03-31,154.695
1942-04-30,274.2487
1942-05-31,292.2299
1942-06-30,140.31
1942-07-31,297.6101
1942-08-31,328.7586
1942-09-30,259.4673
1942-10-31,68.0171
1942-11-30,15.3194
1942-12-31,10.7038
1943-01-31,10.1941
1943-02-28,77.4749
1943-03-31,134.7033
1943-04-30,325.0774
1943-05-31,199.6904
1943-06-30,435.5132
1943-07-31,284.8675
1943-08-31,202.2106
1943-09-30,122.8102
1943-10-31,36.0473
1943-11-30,9.9109
1943-12-31,7.0226
1944-01-31,12.0913
1944-02-29,17.3865
1944-03-31,22.0871
1944-04-30,35.3111
1944-05-31,79.1739
1944-06-30,115.023
1944-07-31,108.1421
1944-08-31,212.2914
1944-09-30,88.2636
1944-10-31,17.8962
1944-11-30,6.0881
1944-12-31,6.343
1945-01-31,12.6859
1945-02-28,61.6741
1945-03-31,65.6101
1945-04-30,51.3384
1945-05-31,288.8319
1945-06-30,119.3272
1945-07-31,194.3952
1945-08-31,253.1526
1945-09-30,129.493
1945-10-31,29.7893
1945-11-30,7.6455
1945-12-31,7.5889
1946-01-31,18.7741
1946-02-28,72.8876
1946-03-31,248.9617
1946-04-30,141.0462
1946-05-31,77.1068
1946-06-30,157.8381
1946-07-31,242.2223
1946-08-31,246.1301
1946-09-30,91.8315
1946-10-31,21.3226
1946-11-30,8.2119
1946-12-31,10.6471
1947-01-31,15.7725
1947-02-28,47.3458
1947-03-31,47.2891
1947-04-30,29.8743
1947-05-31,88.6317
1947-06-30,135.751
1947-07-31,135.3545
1947-08-31,111.4551
1947-09-30,41.1161
1947-10-31,7.7022
1947-11-30,5.0687
1947-12-31,4.2192
1948-01-31,22.8234
1948-02-29,25.117
1948-03-31,18.8307
1948-04-30,81.864
1948-05-31,41.5691
1948-06-30,72.8309
1948-07-31,248.452
1948-08-31,287.6992
1948-09-30,209.0067
1948-10-31,36.7553
1948-11-30,8.7216
1948-12-31,6.796
1949-01-31,12.9125
1949-02-28,23.8145
1949-03-31,33.6687
1949-04-30,30.6955
1949-05-31,51.6216
1949-06-30,167.5508
1949-07-31,241.2879
1949-08-31,238.3146
1949-09-30,73.5955
1949-10-31,10.5056
1949-11-30,5.2103
1949-12-31,4.6723
1950-01-31,6.9943
1950-02-28,16.7353
1950-03-31,17.8113
1950-04-30,145.8035
1950-05-31,177.7732
1950-06-30,159.5655
1950-07-31,278.9776
1950-08-31,270.9639
1950-09-30,151.665
1950-10-31,33.8103
1950-11-30,7.9287
1950-12-31,9.5994
1951-01-31,26.1081
1951-02-28,465.8122
1951-03-31,491.5805
1951-04-30,273.739
1951-05-31,221.4095
1951-06-30,199.3223
1951-07-31,202.2106
1951-08-31,210.4225
1951-09-30,71.047
1951-10-31,17.6414
1951-11-30,8.3252
1951-12-31,7.7022
1952-01-31,19.4254
1952-02-29,53.8303
1952-03-31,153.9587
1952-04-30,256.0126
1952-05-31,275.4097
1952-06-30,231.1221
1952-07-31,389.3567
1952-08-31,515.3667
1952-09-30,314.317
1952-10-31,109.8127
1952-11-30,26.0232
1952-12-31,14.8947
1953-01-31,12.9691
1953-02-28,15.7159
1953-03-31,55.2745
1953-04-30,216.2841
1953-05-31,80.0801
1953-06-30,106.8112
1953-07-31,222.4572
1953-08-31,225.2889
1953-09-30,237.9182
1953-10-31,72.9442
1953-11-30,12.6576
1953-12-31,11.44
1954-01-31,15.8291
1954-02-28,30.0442
1954-03-31,39.8701
1954-04-30,64.704
1954-05-31,112.2763
1954-06-30,207.9023
1954-07-31,260.1186
1954-08-31,165.0306
1954-09-30,49.2996
1954-10-31,12.601
1954-11-30,6.881
1954-12-31,9.8543
1955-01-31,12.2329
1955-02-28,22.0588
1955-03-31,60.8529
1955-04-30,75.5777
1955-05-31,51.8482
1955-06-30,46.8361
1955-07-31,31.4317
1955-08-31,119.9502
1955-09-30,106.6696
1955-10-31,50.3757
1955-11-30,61.1078
1955-12-31,29.9309
1956-01-31,22.7101
1956-02-29,15.5743
1956-03-31,415.9745
1956-04-30,463.2637
1956-05-31,157.5266
1956-06-30,152.9676
1956-07-31,112.7577
1956-08-31,180.6615
1956-09-30,191.4502
1956-10-31,120.8563
1956-11-30,112.3613
1956-12-31,66.3464
1957-01-31,38.0012
1957-02-28,55.6992
1957-03-31,46.0149
1957-04-30,32.5361
1957-05-31,47.6289
1957-06-30,193.1209
1957-07-31,93.3323
1957-08-31,147.814
1957-09-30,123.8579
1957-10-31,85.9416
1957-11-30,92.6811
1957-12-31,70.3674
1958-01-31,52.2446
1958-02-28,62.6086
1958-03-31,32.7343
1958-04-30,56.5487
1958-05-31,247.6592
1958-06-30,235.936
1958-07-31,425.3191
1958-08-31,312.9012
1958-09-30,233.5007
1958-10-31,105.7351
1958-11-30,103.1866
1958-12-31,89.2547
1959-01-31,45.7034
1959-02-28,44.3159
1959-03-31,43.3248
1959-04-30,30.6388
1959-05-31,75.4644
1959-06-30,84.9789
1959-07-31,33.5555
1959-08-31,29.8743
1959-09-30,60.5414
1959-10-31,115.5044
1959-11-30,94.6915
1959-12-31,35.481
1960-01-31,17.8962
1960-02-29,19.4537
1960-03-31,17.4715
1960-04-30,16.622
1960-05-31,76.3139
1960-06-30,107.151
1960-07-31,89.2264
1960-08-31,53.8303
1960-09-30,81.8074
1960-10-31,95.3428
1960-11-30,67.0543
1960-12-31,34.9713
