zip,beds,sq__ft,price
95828,4,1146,149593
95820,3,1039,111000
95835,3,1776,234000
95832,3,1249,112500
95817,3,1093,127059
95765,0,0,250000
95667,3,0,475000
95762,4,0,600000
95648,5,0,315000
95648,0,0,4897
95648,0,0,4897
95670,2,1406,242000
95621,2,795,116250
95630,3,2185,344250
95667,4,1929,485000
95662,4,1456,250000
95610,3,1410,160000
95624,4,1609,204750
95628,2,994,142500
95757,3,1843,298000
95670,3,1115,116000
95838,3,1110,123750
95757,5,3389,370000
95632,3,1548,328370
95835,1,984,210944
95757,3,1261,220000
95648,3,1650,276500
95828,4,1549,165000
95765,2,1596,370000
95842,4,1627,223000
95833,4,1120,164000
95828,3,962,128687
95762,6,0,830000
95823,4,1497,179500
95758,1,722,98000
95673,2,844,113263
95816,0,0,360000
95838,4,1656,166357
95660,3,1310,208318
95757,5,2875,397000
95678,3,0,367554
95832,3,1638,187000
95632,4,1928,280000
95835,4,1910,300500
95624,3,1094,229000
95833,3,1582,172000
95828,3,1289,205000
95820,3,963,127281
95824,3,1127,130000
95624,3,1516,222900
95820,3,1039,189000
95832,3,1174,116100
95820,2,723,207000
95823,4,1472,148750
95842,4,1968,205000
95825,2,972,125000
95758,0,0,261000
95608,3,1296,205900
95747,5,0,438000
95758,4,2306,204918
95825,4,1776,221250
95828,4,1448,145000
95828,3,1638,170725
95762,4,0,533000
95742,0,0,331500
95815,2,795,207973
95661,4,2295,360000
95648,4,0,4897
95758,2,1189,207000
95824,2,746,78400
95628,3,1144,200000
95630,4,2462,539000
95673,3,1093,182000
95648,3,1621,260000
95608,3,1655,386222
95757,3,1857,291000
95838,4,1799,205000
95758,3,1273,190000
95822,3,975,271742
95842,3,1009,198000
95826,3,1356,195000
95621,3,1367,249000
95648,0,0,4897
95828,3,888,216021
95827,5,2367,315537
95828,4,1714,174313
95757,5,3508,510000
95621,4,1280,167293
95833,3,1204,174250
95820,2,1321,161829
95843,3,1669,168750
95747,4,0,412500
95835,3,1811,263500
95670,2,941,94905
95762,3,0,356200
95660,3,1082,147308
95630,3,1427,236073
95826,4,1483,161600
95835,0,0,250000
95757,5,3260,385000
95843,3,1235,246544
95648,0,0,4897
95827,3,1320,115500
95823,4,1715,230000
95825,4,1566,220000
95648,4,0,261800
95822,2,990,66500
95667,4,2295,350000
95608,2,1000,182000
95757,4,3440,489332
95825,2,1623,300000
95828,2,1132,145000
95838,3,1092,85500
95746,5,2896,676200
95765,3,1577,300567
95758,4,2109,296000
95624,0,0,445000
95742,5,3615,430000
95817,2,1115,220000
95818,2,881,165000
95820,2,1188,123675
95826,3,1029,168750
95822,3,1012,90000
95673,3,1160,249862
95603,3,0,504000
95838,3,1211,135000
95662,2,1690,334150
95831,5,2824,445000
95838,2,904,65000
95624,4,2359,400186
95621,3,1073,198000
95822,3,1320,148500
95817,2,1080,65000
95670,0,0,300000
95670,4,2208,336000
95673,3,1182,164000
95826,4,1914,328360
95626,3,1080,126000
95621,3,1104,156000
95843,3,988,223139
95835,3,2187,235000
95661,3,1152,188325
95757,3,1857,285000
95667,0,0,270000
95682,0,0,275000
95815,4,1158,80000
95823,3,1961,347029
95823,3,1400,138000
95632,3,1100,167000
95650,4,1328,295000
95835,5,2494,276000
95673,2,970,132000
95608,4,1120,189000
95823,3,1466,150000
95670,3,1000,134000
95758,3,1636,250000
95864,3,1360,315000
95828,3,1543,145846
95838,3,1410,115620
95661,3,2049,395500
95662,3,1196,260000
95822,3,1120,145000
95632,3,1262,209347
95632,0,0,355000
95835,3,1531,270000
95662,3,1616,335000
95833,4,1871,230000
95828,3,1394,313138
95818,2,1126,292024
95820,3,1150,198000
95621,4,1578,215000
95829,5,3863,598695
95815,2,1032,65000
95823,3,1593,181000
95822,3,1104,123000
95678,3,0,220000
95762,4,2199,400000
95610,3,1317,215000
95624,0,0,298000
95826,4,1139,186785
95624,4,3992,460000
95828,6,2475,159900
95841,3,1120,178000
95838,3,1004,110000
95619,3,1300,216033
95821,3,1014,113000
95610,5,2085,256054
95826,4,1438,252000
95822,3,1164,122500
95822,4,1253,125000
95667,3,1329,300000
95626,4,1354,126714
95626,3,1416,140000
95648,4,0,202500
95621,4,1892,189836
95648,2,0,330000
95762,4,1808,262500
95828,3,1013,85000
95838,0,0,344755
95824,3,1060,145000
95660,3,960,224252
95660,3,1373,160000
95828,3,1269,122000
95822,2,810,108000
95821,4,2053,450000
95621,3,1075,155800
95603,4,2278,420454
95648,0,0,4897
95823,3,1677,195500
95648,0,0,4897
95655,3,2093,237800
95722,3,1216,230000
95838,3,1430,205878
95817,4,1099,70000
95762,3,0,400000
95823,3,1418,146250
95762,5,0,487500
95815,2,1220,98000
95828,3,1410,165000
95834,3,1428,188700
95762,3,0,460000
95819,3,1493,425000
95758,3,1340,174000
95829,3,1789,243450
95757,3,1843,254200
95648,0,0,4897
95826,4,1605,228000
95821,3,1828,250000
95648,0,0,4897
95821,3,1473,195000
95833,4,2447,246000
95746,5,3670,760000
95693,4,4400,884790
95621,3,1156,161653
95823,3,1676,155000
95765,4,0,315000
95823,3,1452,160000
95758,3,1735,288000
95682,3,0,425000
95670,4,1829,184500
95824,2,797,81900
95825,3,1720,290000
95827,3,1092,150000
95824,3,1161,109000
95824,2,861,75000
95608,3,1676,247000
95670,4,3037,528000
95834,5,2258,232500
95823,3,1386,191250
95835,3,1541,260000
95834,4,2258,332000
95624,4,2111,233500
95648,0,0,4897
95842,3,1159,170000
95757,3,2442,331000
95823,4,1955,166357
95827,3,1380,136500
95624,6,2555,300000
95823,4,1310,150000
95683,4,2734,370500
95832,3,1119,129000
95683,3,5822,2000
95682,2,0,210000
95670,4,1524,296056
95624,4,1721,294173
95678,2,780,127000
95823,4,2205,319789
95621,3,1329,192700
95822,4,1436,185074
95822,3,1646,150000
95648,0,0,4897
95758,5,3468,320000
95831,4,2054,381942
95662,4,1603,183200
95835,4,1904,261000
95828,4,1358,158000
95758,4,1801,346210
95624,3,1416,216000
95757,0,0,383000
95630,5,2787,441000
95691,0,0,200100
95823,3,1420,189000
95648,2,0,350000
95842,2,1022,108750
95864,3,2325,660000
95835,2,1304,152000
95648,5,0,304000
95828,4,1587,127500
95815,3,1264,135500
95608,3,1443,280000
95758,4,1685,182000
95678,4,2212,315000
95823,3,1463,174250
95815,3,970,61500
95835,4,2605,257200
95624,5,2254,222750
95677,3,1462,230095
95630,4,1595,339000
95835,3,1120,209000
95828,4,2491,245000
95670,3,1074,233000
95828,4,1176,247234
95843,4,2652,239700
95823,3,1477,234000
95831,3,1795,351000
95762,0,0,680000
95624,4,1653,275000
95758,2,1006,152000
95815,2,800,78000
95648,0,0,4897
95843,4,1915,240000
95758,2,1112,165000
95834,3,1232,210000
95757,4,2724,274425
95758,3,1485,380578
95667,3,0,294000
95822,3,1446,275086
95648,0,0,4897
95820,5,1516,150000
95823,3,1167,68212
95747,2,0,170000
95608,4,1319,220000
95648,0,0,4897
95823,3,1478,231477
95842,2,904,157788
95758,2,1039,141000
95624,4,1982,298000
95632,4,1606,353767
95621,3,1258,212000
95632,4,1798,238861
95828,4,1995,120000
95624,5,2508,245918
95820,2,932,65000
95822,4,1309,131750
95648,0,0,4897
95838,3,1250,84000
95818,2,1144,299000
95673,4,1475,229665
95822,3,1020,107502
95841,3,2068,460000
95648,0,0,4897
95828,4,1590,147000
95834,4,2169,292000
95824,2,868,90000
95630,4,3261,446000
95823,4,1329,229500
95826,3,1428,156142
95747,4,2577,367463
95603,2,960,285000
95758,3,1418,220000
95833,4,2155,340000
95818,2,1304,413500
95628,2,1315,230000
95648,0,0,4897
95833,2,956,92000
95648,0,0,4897
95631,0,0,194818
95632,3,1266,140000
95610,3,1401,305000
95832,4,1800,207000
95757,3,1457,270000
95827,4,1578,190000
95835,4,2166,356035
95608,3,1152,181872
95608,3,1713,266000
95648,0,0,4897
95747,5,0,600000
95747,3,1506,255000
95816,2,1269,245000
95823,4,1329,122682
95811,2,1247,445000
95823,3,1306,245000
95624,2,840,71000
95678,3,1401,294000
95747,3,1371,208250
95834,3,1202,143500
95832,3,1300,140800
95835,3,2212,334000
95828,4,1638,180000
95823,4,1876,299940
95841,2,924,77000
95843,4,2160,290000
95742,0,0,425000
95828,3,2161,170250
95757,4,3134,347650
95726,3,1320,175000
95820,2,864,68566
95820,3,1018,260014
95632,3,1080,122000
95757,3,2163,242638
95758,4,1844,241000
95661,4,3838,613401
95843,2,1007,180000
95843,3,1830,254172
95742,0,0,320000
95815,2,1011,85000
95621,3,1118,122000
95843,4,1953,207744
95630,3,1820,200000
95726,2,1284,280908
95758,4,2056,275000
95747,5,3579,610000
95831,2,950,220000
95726,3,1380,265000
