beds,city,price,sq__ft,zip
3,CITRUS HEIGHTS,249000,1367,95621
3,SACRAMENTO,234000,1776,95835
3,ROSEVILLE,326951,0,95678
3,NORTH HIGHLANDS,130000,1209,95660
3,SACRAMENTO,109000,1161,95824
3,SACRAMENTO,160000,1488,95823
3,SACRAMENTO,230000,1302,95828
3,SACRAMENTO,193500,1513,95823
3,SACRAMENTO,129500,1089,95823
3,SACRAMENTO,195000,1473,95821
3,PLACERVILLE,475000,0,95667
3,SACRAMENTO,145000,1120,95822
3,SACRAMENTO,130000,1127,95824
3,SACRAMENTO,150000,1646,95822
3,FOLSOM,200000,1820,95630
3,ANTELOPE,350000,2960,95843
3,SACRAMENTO,244000,1269,95828
3,SACRAMENTO,132000,1248,95828
3,SACRAMENTO,339000,1108,95819
3,SACRAMENTO,400000,1697,95819
3,MEADOW VISTA,230000,1216,95722
3,SACRAMENTO,115500,1320,95827
3,ANTELOPE,254172,1830,95843
3,GALT,188741,1479,95632
3,CARMICHAEL,280000,1443,95608
3,SACRAMENTO,334000,2212,95835
3,SACRAMENTO,125000,1120,95822
3,RANCHO CORDOVA,116000,1115,95670
3,ELK GROVE,230000,1567,95757
3,CITRUS HEIGHTS,219000,1882,95610
3,SACRAMENTO,99000,1643,95864
3,ELK GROVE,167293,1240,95758
3,ROSEVILLE,294000,1401,95678
3,PENRYN,506688,1320,95663
3,ANTELOPE,255000,1574,95843
3,SACRAMENTO,195000,1174,95826
3,ANTELOPE,212000,1517,95843
3,SACRAMENTO,170250,2161,95828
3,ELK GROVE,156896,1056,95624
3,SACRAMENTO,148750,1019,95817
3,SACRAMENTO,148500,1320,95822
3,SACRAMENTO,106250,1289,95823
3,PLACERVILLE,294000,0,95667
3,SACRAMENTO,176250,1740,95823
3,SACRAMENTO,191250,1386,95823
3,SACRAMENTO,232000,1375,95831
3,ELK GROVE,219794,1302,95757
3,SACRAMENTO,391000,1627,95814
3,RIO LINDA,249862,1160,95673
3,ORANGEVALE,260000,1196,95662
3,FOLSOM,500000,1905,95630
3,SACRAMENTO,275336,1468,95828
3,SACRAMENTO,157500,1302,95832
3,SACRAMENTO,145000,1060,95824
3,SACRAMENTO,218000,2142,95838
3,SACRAMENTO,150000,1092,95827
3,SACRAMENTO,150000,1466,95823
3,SACRAMENTO,185833,1124,95829
3,SACRAMENTO,173000,1650,95823
3,SACRAMENTO,100309,909,95838
3,SACRAMENTO,140000,1264,95821
3,ANTELOPE,234000,1187,95843
3,CITRUS HEIGHTS,284893,1343,95621
3,RANCHO CORDOVA,180000,1157,95670
3,SACRAMENTO,156142,1428,95826
3,NORTH HIGHLANDS,224252,960,95660
3,SACRAMENTO,320000,1276,95822
3,CARMICHAEL,205900,1296,95608
4,SACRAMENTO,235000,1936,95828
4,GALT,280000,1928,95632
4,SACRAMENTO,151000,1628,95828
4,ELK GROVE,346210,1801,95758
4,GALT,278000,2214,95632
4,LINCOLN,297500,0,95648
4,ELK GROVE,347650,3134,95757
4,EL DORADO HILLS,272700,0,95762
4,ELK GROVE,204750,1609,95624
4,SACRAMENTO,174313,1714,95828
4,SACRAMENTO,205000,1799,95838
4,SACRAMENTO,131200,1380,95827
4,ELK GROVE,351000,2789,95757
4,ELK GROVE,227887,1616,95624
4,ELK GROVE,280000,2494,95624
4,GALT,300000,2307,95632
4,SACRAMENTO,186785,1139,95826
4,ELK GROVE,250000,1591,95758
4,GALT,238861,1798,95632
4,SACRAMENTO,240000,1816,95829
4,EL DORADO HILLS,533000,0,95762
4,SACRAMENTO,170000,1859,95828
4,SACRAMENTO,328578,1659,95834
4,SACRAMENTO,190000,1887,95838
4,SACRAMENTO,292000,2169,95834
4,RIO LINDA,247480,1182,95673
4,NORTH HIGHLANDS,161500,1587,95660
4,ELK GROVE,275000,1653,95624
4,ANTELOPE,290000,2160,95843
4,EL DORADO HILLS,606238,0,95762
4,ELK GROVE,335750,2354,95757
4,SACRAMENTO,161600,1483,95826
4,CARMICHAEL,668365,3357,95608
4,ANTELOPE,240000,1915,95843
4,LINCOLN,267750,0,95648
4,ELVERTA,126714,1354,95626
4,CITRUS HEIGHTS,215000,1578,95621
4,SACRAMENTO,280987,3009,95832
4,SACRAMENTO,148750,1472,95823
4,ELK GROVE,210000,1776,95758
4,SACRAMENTO,273750,2372,95829
4,SACRAMENTO,270000,2030,95835
4,SACRAMENTO,212864,1590,95823
4,SACRAMENTO,149593,1146,95828
4,ELK GROVE,298000,1982,95624
4,SACRAMENTO,173000,1590,95828
4,ROCKLIN,315000,0,95765
4,SACRAMENTO,170000,1917,95833
4,SACRAMENTO,179580,1943,95842
4,CARMICHAEL,189000,1120,95608
4,LOOMIS,295000,1328,95650
4,SACRAMENTO,166357,1656,95838
4,ELK GROVE,199500,1715,95624
4,CAMERON PARK,423000,0,95682
4,CARMICHAEL,285000,1559,95608
4,ELK GROVE,235301,1685,95758
4,PLACERVILLE,485000,1929,95667
4,SACRAMENTO,145000,1448,95828
4,CITRUS HEIGHTS,167293,1280,95621
4,SACRAMENTO,123000,1341,95823
4,ELK GROVE,296000,2109,95758
4,RANCHO CORDOVA,305000,1851,95670
4,ANTELOPE,387731,1830,95843
4,LINCOLN,261800,0,95648
