street,city,state,zip,beds,baths,sq__ft,sale_date,price,latitude,longitude,s_price,n_price,s_sq__ft,n_sq__ft,b_price,p_price,d_Condo,d_Multi-Family,d_Residential,d_Unkown
5031 CORVAIR ST,NORTH HIGHLANDS,CA,95660,3,2,1082,2008-05-21T00:00:00Z,132450.03846153847,38.65824600000001,-121.375469,-0.7319130533554103,0.1482034177176715,-0.26406447655208165,0.18584678804534524,1,3,0.0,0.0,1.0,0.0
7661 NIXOS WAY,SACRAMENTO,CA,95823,4,2,1472,2008-05-21T00:00:00Z,148750.0,38.479553,-121.463317,-0.6115180244098977,0.16665817519380371,0.19690260399400225,0.252834077636551,1,3,0.0,0.0,1.0,0.0
7044 CARTHY WAY,SACRAMENTO,CA,95828,4,2,1146,2008-05-21T00:00:00Z,178064.77551020405,38.49857,-121.420925,-0.394992774472692,0.19984825795759026,-0.18841859666759608,0.1968395740295431,1,4,0.0,0.0,1.0,0.0
2442 LARKSPUR LN,SACRAMENTO,CA,95825,1,1,760,2008-05-21T00:00:00Z,150000.0,38.58514,-121.403736,-0.6022852550057011,0.16807342067096226,-0.6446578097208996,0.1305393335623497,1,3,1.0,0.0,0.0,0.0
2442 LARKSPUR LN,SACRAMENTO,CA,95825,1,1,760,2008-05-21T00:00:00Z,150000.0,38.58514,-121.403736,-0.6022852550057011,0.16807342067096226,-0.6446578097208996,0.1305393335623497,1,3,1.0,0.0,0.0,0.0
4800 WESTLAKE PKWY Unit 2109,SACRAMENTO,CA,95835,2,2,1304,2008-05-21T00:00:00Z,152000.0,38.658812,-121.542345,-0.5875128239589862,0.1703378134344158,-0.001667830702772357,0.2239780144280316,1,3,1.0,0.0,0.0,0.0
2178 63RD AVE,SACRAMENTO,CA,95822,3,2,1207,2008-05-21T00:00:00Z,154000.0,38.493955,-121.48966,-0.5727403929122715,0.17260220619786942,-0.11631861740269578,0.2073170731707317,1,3,0.0,0.0,1.0,0.0
8718 ELK WAY,ELK GROVE,CA,95624,3,2,1056,2008-05-21T00:00:00Z,156896.0,38.41653,-121.379653,-0.5513499127566286,0.17588104691935025,-0.2947956152551539,0.18138096873926485,1,3,0.0,0.0,1.0,0.0
5708 RIDGEPOINT DR,ANTELOPE,CA,95843,2,2,1043,2008-05-21T00:00:00Z,161250.0,38.72027,-121.331555,-0.5191903303679305,0.1808106299653888,-0.31016118460669,0.17914805908622464,1,3,0.0,0.0,1.0,0.0
7315 KOALA CT,NORTH HIGHLANDS,CA,95660,4,2,1587,2008-05-21T00:00:00Z,161500.0,38.699251,-121.371414,-0.5173437764870912,0.18109367906082047,0.3328287944114372,0.2725867399519066,1,4,0.0,0.0,1.0,0.0
7315 KOALA CT,NORTH HIGHLANDS,CA,95660,4,2,1587,2008-05-21T00:00:00Z,161500.0,38.699251,-121.371414,-0.5173437764870912,0.18109367906082047,0.3328287944114372,0.2725867399519066,1,4,0.0,0.0,1.0,0.0
2622 ERIN DR,SACRAMENTO,CA,95833,4,1,1120,2008-05-21T00:00:00Z,198658.47619047613,38.613765,-121.488694,-0.2428832628246912,0.2231643713541591,-0.21914973537066834,0.19237375472346271,2,5,0.0,0.0,1.0,0.0
8421 SUNBLAZE WAY,SACRAMENTO,CA,95823,4,2,1580,2008-05-21T00:00:00Z,165000.0,38.450543,-121.432538,-0.4914920221553404,0.18505636639686426,0.3245550262990716,0.2713844039848849,1,4,0.0,0.0,1.0,0.0
7420 ALIX PKWY,SACRAMENTO,CA,95823,4,1,1955,2008-05-21T00:00:00Z,166357.0,38.489405,-121.452811,-0.4814689276901444,0.18659275688686755,0.7677926037472291,0.3357952593610443,1,4,0.0,0.0,1.0,0.0
3820 NATOMA WAY,SACRAMENTO,CA,95838,4,2,1656,2008-05-21T00:00:00Z,166357.0,38.636748,-121.422159,-0.4814689276901444,0.18659275688686755,0.4143845086618982,0.2844383373411199,1,4,0.0,0.0,1.0,0.0
4431 GREEN TREE DR,SACRAMENTO,CA,95823,3,2,1477,2008-05-21T00:00:00Z,168000.0,38.499954,-121.454469,-0.4693333755852683,0.1884529555420447,0.20281243835997767,0.25369288904156645,1,4,0.0,0.0,1.0,0.0
9417 SARA ST,ELK GROVE,CA,95624,3,2,1188,2008-05-21T00:00:00Z,253029.9189189189,38.415518,-121.370527,0.15871593148346913,0.2847235220805681,-0.13877598799340246,0.20405358983167296,2,7,0.0,0.0,1.0,0.0
8299 HALBRITE WAY,SACRAMENTO,CA,95828,4,2,1590,2008-05-21T00:00:00Z,173000.0,38.473814,-121.4,-0.4324022979684815,0.1941139374506787,0.3363746950310225,0.27310202679491585,1,4,0.0,0.0,1.0,0.0
7223 KALLIE KAY LN,SACRAMENTO,CA,95823,3,2,1463,2008-05-21T00:00:00Z,174250.0,38.477553,-121.419463,-0.4231695285642848,0.1955291829278372,0.18626490213524646,0.2512882171075232,1,4,0.0,0.0,1.0,0.0
8156 STEINBECK WAY,SACRAMENTO,CA,95828,4,2,1714,2008-05-21T00:00:00Z,174313.0,38.474853,-121.406326,-0.4227041969863132,0.19560051129988604,0.4829385873072132,0.29440054963929924,1,4,0.0,0.0,1.0,0.0
8156 STEINBECK WAY,SACRAMENTO,CA,95828,4,2,1714,2008-05-21T00:00:00Z,174313.0,38.474853,-121.406326,-0.4227041969863132,0.19560051129988604,0.4829385873072132,0.29440054963929924,1,4,0.0,0.0,1.0,0.0
7957 VALLEY GREEN DR,SACRAMENTO,CA,95823,3,2,1185,2008-05-21T00:00:00Z,178480.0,38.465184,-121.434925,-0.3919258369004831,0.2003183736225416,-0.1423218886129877,0.20353830298866368,2,4,0.0,0.0,1.0,0.0
1122 WILD POPPY CT,GALT,CA,95632,3,2,1406,2008-05-21T00:00:00Z,178760.0,38.287789,-121.294715,-0.38985769655394303,0.2006353886094251,0.1188927903631265,0.2414977670903469,2,4,0.0,0.0,1.0,0.0
4520 BOMARK WAY,SACRAMENTO,CA,95842,4,2,1943,2008-05-21T00:00:00Z,179580.0,38.665724,-121.358576,-0.3838009998247899,0.20156378964244107,0.7536090012688881,0.3337341119890072,2,4,0.0,1.0,0.0,0.0
9012 KIEFER BLVD,SACRAMENTO,CA,95826,3,2,1172,2008-05-21T00:00:00Z,181000.0,38.547011,-121.366217,-0.3733125737816225,0.20317150850449311,-0.15768745796452385,0.2013053933356235,2,4,0.0,0.0,1.0,0.0
5332 SANDSTONE ST,CARMICHAEL,CA,95608,3,1,1152,2008-05-21T00:00:00Z,181872.0,38.662105,-121.313945,-0.3668717938452549,0.2041587837493589,-0.1813267954284256,0.19787014771556166,2,4,0.0,0.0,1.0,0.0
5993 SAWYER CIR,SACRAMENTO,CA,95823,4,3,1851,2008-05-21T00:00:00Z,182587.0,38.4473,-121.435218,-0.3615906497460543,0.2049683041622936,0.6448680489349401,0.3179319821367228,2,5,0.0,0.0,1.0,0.0
4844 CLYDEBANK WAY,ANTELOPE,CA,95843,3,2,1215,2008-05-21T00:00:00Z,182716.0,38.714609,-121.347887,-0.3606378279435412,0.2051143574955363,-0.10686288241713507,0.20869117141875645,2,5,0.0,0.0,1.0,0.0
4844 CLYDEBANK WAY,ANTELOPE,CA,95843,3,2,1215,2008-05-21T00:00:00Z,182716.0,38.714609,-121.347887,-0.3606378279435412,0.2051143574955363,-0.10686288241713507,0.20869117141875645,2,5,0.0,0.0,1.0,0.0
306 CAMELLIA WAY,GALT,CA,95632,3,2,1130,2008-05-21T00:00:00Z,182750.0,38.260443,-121.297864,-0.3603866966157471,0.20515285217251505,-0.20733006663871748,0.19409137753349365,2,5,0.0,0.0,1.0,0.0
9021 MADISON AVE,ORANGEVALE,CA,95662,4,2,1603,2008-05-21T00:00:00Z,183200.0,38.664186,-121.21751100000002,-0.35706289963023624,0.20566234054429208,0.3517402643825586,0.27533493644795604,2,5,0.0,0.0,1.0,0.0
404 6TH ST,GALT,CA,95632,3,1,1479,2008-05-21T00:00:00Z,188741.0,38.251808,-121.302493,-0.3161358794153131,0.2119358406954403,0.20517637210636785,0.25403641360357265,2,5,0.0,0.0,1.0,0.0
8317 SUNNY CREEK WAY,SACRAMENTO,CA,95823,3,2,1420,2008-05-21T00:00:00Z,189000.0,38.459041,-121.424644,-0.3142228495947635,0.21222907955830755,0.1354403265878577,0.24390243902439024,2,5,0.0,0.0,1.0,0.0
8317 SUNNY CREEK WAY,SACRAMENTO,CA,95823,3,2,1420,2008-05-21T00:00:00Z,189000.0,38.459041,-121.424644,-0.3142228495947635,0.21222907955830755,0.1354403265878577,0.24390243902439024,2,5,0.0,0.0,1.0,0.0
2617 BASS CT,SACRAMENTO,CA,95826,3,2,1280,2008-05-21T00:00:00Z,183789.1875,38.560767,-121.377471,-0.3527110337715681,0.2063294164999508,-0.030035035659454437,0.2198557196839574,2,5,0.0,0.0,1.0,0.0
2617 BASS CT,SACRAMENTO,CA,95826,3,2,1280,2008-05-21T00:00:00Z,183789.1875,38.560767,-121.377471,-0.3527110337715681,0.2063294164999508,-0.030035035659454437,0.2198557196839574,2,5,0.0,0.0,1.0,0.0
7005 TIANT WAY,ELK GROVE,CA,95758,3,2,1586,2008-05-21T00:00:00Z,194000.0,38.422811,-121.423285,-0.27729177197797666,0.2178900614669416,0.3316468275382421,0.27241497767090345,2,5,0.0,0.0,1.0,0.0
7895 CABER WAY,ANTELOPE,CA,95843,3,2,1362,2008-05-21T00:00:00Z,194818.0,38.711279,-121.393449,-0.2712498476798703,0.21881619810719408,0.06688624794254268,0.2339402267262109,2,5,0.0,0.0,1.0,0.0
7624 BOGEY CT,SACRAMENTO,CA,95828,4,4,2162,2008-05-21T00:00:00Z,195000.0,38.48009,-121.415102,-0.2699055564546193,0.2190222578486684,1.012459746498612,0.3713500515286843,2,5,0.0,1.0,0.0,0.0
6930 HAMPTON COVE WAY,SACRAMENTO,CA,95823,3,2,1266,2008-05-21T00:00:00Z,179213.60869565216,38.44004,-121.421012,-0.3865072449645871,0.20114896273336227,-0.04658257188418567,0.2174510477499141,2,4,0.0,0.0,1.0,0.0
6930 HAMPTON COVE WAY,SACRAMENTO,CA,95823,3,2,1266,2008-05-21T00:00:00Z,179213.60869565216,38.44004,-121.421012,-0.3865072449645871,0.20114896273336227,-0.04658257188418567,0.2174510477499141,2,4,0.0,0.0,1.0,0.0
8708 MESA BROOK WAY,ELK GROVE,CA,95624,4,2,1715,2008-05-21T00:00:00Z,199500.0,38.44076,-121.385792,-0.2366675865995111,0.22411714156643892,0.4841205541804083,0.2945723119203023,2,5,0.0,0.0,1.0,0.0
120 GRANT LN,FOLSOM,CA,95630,3,2,1820,2008-05-21T00:00:00Z,200000.0,38.687742,-121.17104,-0.23297447883783245,0.2246832397573024,0.6082270758658924,0.31260735142562696,2,5,0.0,0.0,1.0,0.0
5907 ELLERSLEE DR,CARMICHAEL,CA,95608,3,1,936,2008-05-21T00:00:00Z,200000.0,38.664468,-121.32683,-0.23297447883783245,0.2246832397573024,-0.4366316400385643,0.16076949501889384,2,5,0.0,0.0,1.0,0.0
5907 ELLERSLEE DR,CARMICHAEL,CA,95608,3,1,936,2008-05-21T00:00:00Z,200000.0,38.664468,-121.32683,-0.23297447883783245,0.2246832397573024,-0.4366316400385643,0.16076949501889384,2,5,0.0,0.0,1.0,0.0
17 SERASPI CT,SACRAMENTO,CA,95834,0,0,0,2008-05-21T00:00:00Z,206000.0,38.631481,-121.50188,-0.1886571856976882,0.2314764180476632,-1.5429526333491657,0.0,2,5,0.0,0.0,1.0,0.0
170 PENHOW CIR,SACRAMENTO,CA,95834,3,2,1511,2008-05-21T00:00:00Z,208000.0,38.653439,-121.535169,-0.17388475465097344,0.2337408108111168,0.2429993120486106,0.2595328065956716,2,5,0.0,0.0,1.0,0.0
8345 STAR THISTLE WAY,SACRAMENTO,CA,95823,4,2,1590,2008-05-21T00:00:00Z,212864.0,38.454349,-121.439239,-0.13795820234536318,0.239247814011836,0.3363746950310225,0.27310202679491585,2,6,0.0,0.0,1.0,0.0
9080 FRESCA WAY,ELK GROVE,CA,95758,4,2,1596,2008-05-21T00:00:00Z,221000.0,38.427818,-121.424026,-0.07786395284732762,0.2484593637735653,0.343466496270193,0.2741326004809344,2,6,0.0,0.0,1.0,0.0
391 NATALINO CIR,SACRAMENTO,CA,95835,2,2,1341,2008-05-21T00:00:00Z,221000.0,38.67307,-121.506373,-0.07786395284732762,0.2484593637735653,0.042064943605445854,0.23033321882514604,2,6,0.0,0.0,1.0,0.0
8373 BLACKMAN WAY,ELK GROVE,CA,95624,5,3,2136,2008-05-21T00:00:00Z,223058.0,38.435436,-121.39453600000002,-0.06266312130025815,0.250789423927159,0.9817286077955398,0.3668842322226039,2,6,0.0,0.0,1.0,0.0
8373 BLACKMAN WAY,ELK GROVE,CA,95624,5,3,2136,2008-05-21T00:00:00Z,223058.0,38.435436,-121.39453600000002,-0.06266312130025815,0.250789423927159,0.9817286077955398,0.3668842322226039,2,6,0.0,0.0,1.0,0.0
9837 CORTE DORADO CT,ELK GROVE,CA,95624,4,2,1616,2008-05-21T00:00:00Z,227887.0,38.400676,-121.38101,-0.026995086537965413,0.2562568002545177,0.3671058337340947,0.2775678461009962,2,6,0.0,0.0,1.0,0.0
9837 CORTE DORADO CT,ELK GROVE,CA,95624,4,2,1616,2008-05-21T00:00:00Z,227887.0,38.400676,-121.38101,-0.026995086537965413,0.2562568002545177,0.3671058337340947,0.2775678461009962,2,6,0.0,0.0,1.0,0.0
5037 J PKWY,SACRAMENTO,CA,95823,3,2,1478,2008-05-21T00:00:00Z,231477.0,38.491399,-121.443547,-0.00047857280911245165,0.260321385264917,0.20399440523317275,0.2538646513225696,2,6,0.0,0.0,1.0,0.0
10245 LOS PALOS DR,RANCHO CORDOVA,CA,95670,3,2,1287,2008-05-21T00:00:00Z,234697.0,38.593699,-121.31089,0.023305041176098284,0.2639670576140773,-0.02176126754708884,0.22105805565097905,2,6,0.0,0.0,1.0,0.0
6613 NAVION DR,CITRUS HEIGHTS,CA,95621,4,2,1277,2008-05-21T00:00:00Z,178384.52380952382,38.702855,-121.31308,-0.3926310446206893,0.2002102758251434,-0.0335809362790397,0.21934043284094806,2,4,0.0,0.0,1.0,0.0
2887 AZEVEDO DR,SACRAMENTO,CA,95833,4,2,1448,2008-05-21T00:00:00Z,236000.0,38.618457,-121.509439,0.03292928000303294,0.2654423094994673,0.16853539903732015,0.2487117828924768,2,7,0.0,0.0,1.0,0.0
9186 KINBRACE CT,SACRAMENTO,CA,95829,4,3,2235,2008-05-21T00:00:00Z,236685.0,38.463355,-121.358936,0.03798883763653274,0.26621786402095016,1.0987433282418535,0.38388869804191,2,7,0.0,0.0,1.0,0.0
4243 MIDDLEBURY WAY,MATHER,CA,95655,3,2,2093,2008-05-21T00:00:00Z,237800.0,38.547991,-121.280483,0.0462244679450762,0.2674802629865756,0.9309040322481512,0.35949845413947096,2,7,0.0,0.0,1.0,0.0
1028 FALLON PLACE CT,RIO LINDA,CA,95673,3,2,1193,2008-05-21T00:00:00Z,167111.41666666663,38.693818,-121.441153,-0.4758966435957319,0.1874469047071819,-0.13286615362742699,0.2049124012366884,1,4,0.0,0.0,1.0,0.0
4804 NORIKER DR,ELK GROVE,CA,95757,3,2,2163,2008-05-21T00:00:00Z,242638.0,38.400974,-121.448424,0.08195897864707917,0.27295782908136984,1.0136417133718072,0.3715218138096874,2,7,0.0,0.0,1.0,0.0
7713 HARVEST WOODS DR,SACRAMENTO,CA,95828,3,2,1269,2008-05-21T00:00:00Z,244000.0,38.478198,-121.412911,0.09201900418989192,0.2744998805532817,-0.0430366712646004,0.2179663345929234,2,7,0.0,0.0,1.0,0.0
2866 KARITSA AVE,SACRAMENTO,CA,95833,0,0,0,2008-05-21T00:00:00Z,244500.0,38.626671,-121.52597,0.0957121119515706,0.2750659787441451,-1.5429526333491657,0.0,2,7,0.0,0.0,1.0,0.0
6913 RICHEVE WAY,SACRAMENTO,CA,95828,3,1,958,2008-05-21T00:00:00Z,244960.0,38.502519,-121.420769,0.099109771092315,0.27558678907973944,-0.4106283688282724,0.16454826520096186,2,7,0.0,0.0,1.0,0.0
8636 TEGEA WAY,ELK GROVE,CA,95624,5,3,2508,2008-05-21T00:00:00Z,245918.0,38.443832,-121.382087,0.10618576556369136,0.2766714332134337,1.4214202846241122,0.4307798007557541,2,7,0.0,0.0,1.0,0.0
5448 MAIDSTONE WAY,CITRUS HEIGHTS,CA,95621,3,2,1305,2008-05-21T00:00:00Z,250000.0,38.665395,-121.293288,0.13633629733003613,0.2812930588436425,-0.00048586382957727,0.2241497767090347,2,7,0.0,0.0,1.0,0.0
18 OLLIE CT,ELK GROVE,CA,95758,4,2,1591,2008-05-21T00:00:00Z,250000.0,38.444909,-121.412345,0.13633629733003613,0.2812930588436425,0.3375566619042176,0.2732737890759189,2,7,0.0,0.0,1.0,0.0
