index,street,city,zip,state,beds,baths,sq__ft,type,sale_date,price,latitude,longitude,train
74,170 PENHOW CIR,SACRAMENTO,95834,CA,3,2,1511,Residential,2008-05-21,208000,38.653439,-121.535169,True
75,8345 STAR THISTLE WAY,SACRAMENTO,95823,CA,4,2,1590,Residential,2008-05-21,212864,38.454349,-121.439239,True
76,9080 FRESCA WAY,ELK GROVE,95758,CA,4,2,1596,Residential,2008-05-21,221000,38.427818,-121.424026,True
78,8373 BLACKMAN WAY,ELK GROVE,95624,CA,5,3,2136,Residential,2008-05-21,223058,38.435436,-121.394536,True
79,9837 CORTE DORADO CT,ELK GROVE,95624,CA,4,2,1616,Residential,2008-05-21,227887,38.400676,-121.38101,True
80,5037 J PKWY,SACRAMENTO,95823,CA,3,2,1478,Residential,2008-05-21,231477,38.491399,-121.443547,True
81,10245 LOS PALOS DR,RANCHO CORDOVA,95670,CA,3,2,1287,Residential,2008-05-21,234697,38.593699,-121.31089,True
82,6613 NAVION DR,CITRUS HEIGHTS,95621,CA,4,2,1277,Residential,2008-05-21,235000,38.702855,-121.31308,True
83,2887 AZEVEDO DR,SACRAMENTO,95833,CA,4,2,1448,Residential,2008-05-21,236000,38.618457,-121.509439,True
84,9186 KINBRACE CT,SACRAMENTO,95829,CA,4,3,2235,Residential,2008-05-21,236685,38.463355,-121.358936,True
85,4243 MIDDLEBURY WAY,MATHER,95655,CA,3,2,2093,Residential,2008-05-21,237800,38.547991,-121.280483,True
88,7713 HARVEST WOODS DR,SACRAMENTO,95828,CA,3,2,1269,Residential,2008-05-21,244000,38.478198,-121.412911,True
89,2866 KARITSA AVE,SACRAMENTO,95833,CA,0,0,0,Residential,2008-05-21,244500,38.626671,-121.52597,True
90,6913 RICHEVE WAY,SACRAMENTO,95828,CA,3,1,958,Residential,2008-05-21,244960,38.502519,-121.420769,True
92,5448 MAIDSTONE WAY,CITRUS HEIGHTS,95621,CA,3,2,1305,Residential,2008-05-21,250000,38.665395,-121.293288,True
94,4010 ALEX LN,CARMICHAEL,95608,CA,2,2,1326,Condo,2008-05-21,250134,38.637028,-121.312963,True
95,4901 MILLNER WAY,ELK GROVE,95757,CA,3,2,1843,Residential,2008-05-21,254200,38.38692,-121.447349,True
97,5529 LAGUNA PARK DR,ELK GROVE,95758,CA,5,3,2790,Residential,2008-05-21,258000,38.42568,-121.438062,True
98,230 CANDELA CIR,SACRAMENTO,95835,CA,3,2,1541,Residential,2008-05-21,260000,38.656251,-121.547572,True
99,4900 71ST ST,SACRAMENTO,95820,CA,3,1,1018,Residential,2008-05-21,260014,38.53151,-121.421089,True
101,4236 NATOMAS CENTRAL DR,SACRAMENTO,95834,CA,3,2,1672,Condo,2008-05-21,265000,38.648879,-121.544023,True
102,5615 LUPIN LN,POLLOCK PINES,95726,CA,3,2,1380,Residential,2008-05-21,265000,38.708315,-120.603872,True
103,5625 JAMES WAY,SACRAMENTO,95822,CA,3,1,975,Residential,2008-05-21,271742,38.523947,-121.484946,True
105,6850 21ST ST,SACRAMENTO,95822,CA,3,2,1446,Residential,2008-05-21,275086,38.502194,-121.490795,True
108,2912 NORCADE CIR,SACRAMENTO,95826,CA,8,4,3612,Multi-Family,2008-05-21,282400,38.559505,-121.364839,True
112,1838 CASTRO WAY,SACRAMENTO,95818,CA,2,1,1126,Residential,2008-05-21,292024,38.556098,-121.490787,True
113,10158 CRAWFORD WAY,SACRAMENTO,95827,CA,4,4,2213,Multi-Family,2008-05-21,297000,38.5703,-121.315735,True
115,4925 PERCHERON DR,ELK GROVE,95757,CA,3,2,1843,Residential,2008-05-21,298000,38.40154,-121.447649,True
117,4727 SAVOIE WAY,SACRAMENTO,95835,CA,5,3,2800,Residential,2008-05-21,304037,38.658182,-121.549521,True
118,8664 MAGNOLIA HILL WAY,ELK GROVE,95624,CA,4,2,2309,Residential,2008-05-21,311000,38.442352,-121.389675,True
119,9570 HARVEST ROSE WAY,SACRAMENTO,95827,CA,5,3,2367,Residential,2008-05-21,315537,38.555993,-121.340352,True
120,4359 CREGAN CT,RANCHO CORDOVA,95742,CA,5,4,3516,Residential,2008-05-21,320000,38.545128,-121.224922,True
121,5337 DUSTY ROSE WAY,RANCHO CORDOVA,95742,CA,0,0,0,Residential,2008-05-21,320000,38.528575,-121.2286,True
122,8929 SUTTERS GOLD DR,SACRAMENTO,95826,CA,4,3,1914,Residential,2008-05-21,328360,38.550848,-121.370224,True
125,9723 TERRAPIN CT,ELK GROVE,95757,CA,4,3,2354,Residential,2008-05-21,335750,38.403492,-121.430224,True
130,6708 PONTA DO SOL WAY,ELK GROVE,95757,CA,4,2,3134,Residential,2008-05-21,347650,38.380635,-121.425538,True
131,4143 SEA MEADOW WAY,SACRAMENTO,95823,CA,4,3,1915,Residential,2008-05-21,351300,38.46534,-121.457519,True
132,3020 RICHARDSON CIR,EL DORADO HILLS,95762,CA,3,2,0,Residential,2008-05-21,352000,38.691299,-121.081752,True
135,11215 SHARRMONT CT,WILTON,95693,CA,3,2,2110,Residential,2008-05-21,372000,38.35062,-121.228349,True
136,7105 DANBERG WAY,ELK GROVE,95757,CA,5,3,3164,Residential,2008-05-21,375000,38.4019,-121.420388,True
137,5579 JERRY LITELL WAY,SACRAMENTO,95835,CA,5,3,3599,Residential,2008-05-21,381300,38.677126,-121.500519,True
141,6801 RAWLEY WAY,ELK GROVE,95757,CA,4,3,3440,Residential,2008-05-21,394470,38.408351,-121.423925,True
142,1693 SHELTER COVE DR,GREENWOOD,95635,CA,3,2,2846,Residential,2008-05-21,395000,38.945357,-120.908822,True
143,9361 WADDELL LN,ELK GROVE,95624,CA,4,3,2359,Residential,2008-05-21,400186,38.450829,-121.349928,True
144,10 SEA FOAM CT,SACRAMENTO,95831,CA,3,3,2052,Residential,2008-05-21,415000,38.487885,-121.545947,True
145,6945 RIO TEJO WAY,ELK GROVE,95757,CA,5,3,3433,Residential,2008-05-21,425000,38.385638,-121.422616,True
146,4186 TULIP PARK WAY,RANCHO CORDOVA,95742,CA,5,3,3615,Residential,2008-05-21,430000,38.550617,-121.23526,True
147,9278 DAIRY CT,ELK GROVE,95624,CA,0,0,0,Residential,2008-05-21,445000,38.420338,-121.363757,True
149,6507 RIO DE ONAR WAY,ELK GROVE,95757,CA,4,3,2724,Residential,2008-05-21,461000,38.38253,-121.428007,True
151,6503 RIO DE ONAR WAY,ELK GROVE,95757,CA,5,4,3508,Residential,2008-05-21,510000,38.38253,-121.428038,True
152,2217 APPALOOSA CT,FOLSOM,95630,CA,4,2,2462,Residential,2008-05-21,539000,38.655167,-121.090178,True
155,4070 REDONDO DR,EL DORADO HILLS,95762,CA,4,3,0,Residential,2008-05-21,606238,38.666807,-121.06483,True
156,4004 CRESTA WAY,SACRAMENTO,95864,CA,3,3,2325,Residential,2008-05-21,660000,38.591618,-121.370626,True
157,315 JUMEL CT,EL DORADO HILLS,95762,CA,6,5,0,Residential,2008-05-21,830000,38.669931,-121.05958,True
160,9512 EMERALD PARK DR Unit 3,ELK GROVE,95624,CA,2,1,840,Condo,2008-05-20,71000,38.40573,-121.369832,True
161,3132 CLAY ST,SACRAMENTO,95815,CA,2,1,800,Residential,2008-05-20,78000,38.624678,-121.439203,True
162,5221 38TH AVE,SACRAMENTO,95824,CA,2,1,746,Residential,2008-05-20,78400,38.518044,-121.443555,True
163,6112 HERMOSA ST,SACRAMENTO,95822,CA,3,1,1067,Residential,2008-05-20,80000,38.515125,-121.480416,True
164,483 ARCADE BLVD,SACRAMENTO,95815,CA,4,2,1316,Residential,2008-05-20,89000,38.623571,-121.454884,True
166,5980 79TH ST,SACRAMENTO,95824,CA,2,1,868,Residential,2008-05-20,90000,38.518373,-121.411779,True
167,7607 ELDER CREEK RD,SACRAMENTO,95824,CA,3,1,924,Residential,2008-05-20,92000,38.51055,-121.414768,True
168,5028 14TH AVE,SACRAMENTO,95820,CA,2,1,610,Residential,2008-05-20,93675,38.53942,-121.446894,True
172,3847 LAS PASAS WAY,SACRAMENTO,95864,CA,3,1,1643,Residential,2008-05-20,99000,38.588672,-121.373916,True
174,1121 CREEKSIDE WAY,GALT,95632,CA,3,1,1080,Residential,2008-05-20,106716,38.241514,-121.312199,True
175,5307 CABRILLO WAY,SACRAMENTO,95820,CA,3,1,1039,Residential,2008-05-20,111000,38.52712,-121.435348,True
176,3725 DON JULIO BLVD,NORTH HIGHLANDS,95660,CA,3,1,1051,Residential,2008-05-20,111000,38.67895,-121.379406,True
177,4803 MCCLOUD DR,SACRAMENTO,95842,CA,2,2,967,Residential,2008-05-20,114800,38.682279,-121.352817,True
178,10542 SILVERWOOD WAY,RANCHO CORDOVA,95670,CA,3,1,1098,Residential,2008-05-20,120108,38.587156,-121.295778,True
179,6318 39TH AVE,SACRAMENTO,95824,CA,3,1,1050,Residential,2008-05-20,123225,38.518942,-121.430158,True
180,211 MCDANIEL CIR,SACRAMENTO,95838,CA,3,2,1110,Residential,2008-05-20,123750,38.636565,-121.460383,True
182,6139 HERMOSA ST,SACRAMENTO,95822,CA,3,2,1120,Residential,2008-05-20,125000,38.514665,-121.480411,True
183,2505 RHINE WAY,ELVERTA,95626,CA,3,2,1080,Residential,2008-05-20,126000,38.717976,-121.407684,True
184,3692 PAYNE WAY,NORTH HIGHLANDS,95660,CA,3,1,957,Residential,2008-05-20,129000,38.66654,-121.378298,True
185,604 MORRISON AVE,SACRAMENTO,95838,CA,2,1,952,Residential,2008-05-20,134000,38.637678,-121.452476,True
186,648 SANTA ANA AVE,SACRAMENTO,95838,CA,3,2,1211,Residential,2008-05-20,135000,38.658478,-121.450409,True
187,14 ASHLEY OAKS CT,SACRAMENTO,95815,CA,3,2,1264,Residential,2008-05-20,135500,38.61779,-121.436765,True
189,840 TRANQUIL LN,GALT,95632,CA,3,2,1266,Residential,2008-05-20,140000,38.270617,-121.299205,True
190,5333 PRIMROSE DR Unit 19A,FAIR OAKS,95628,CA,2,2,994,Condo,2008-05-20,142500,38.662785,-121.276272,True
192,5201 LAGUNA OAKS DR Unit 126,ELK GROVE,95758,CA,0,0,0,Condo,2008-05-20,145000,38.423251,-121.444489,True
194,8001 HARTWICK WAY,SACRAMENTO,95828,CA,4,2,1448,Residential,2008-05-20,145000,38.488623,-121.410582,True
197,7458 WINKLEY WAY,SACRAMENTO,95822,CA,3,1,1320,Residential,2008-05-20,148500,38.487444,-121.491366,True
199,8116 COTTONMILL CIR,SACRAMENTO,95828,CA,3,2,1364,Residential,2008-05-20,150000,38.482876,-121.405912,True
200,4660 CEDARWOOD WAY,SACRAMENTO,95823,CA,4,2,1310,Residential,2008-05-20,150000,38.484834,-121.449316,True
202,6716 TAREYTON WAY,CITRUS HEIGHTS,95621,CA,3,2,1104,Residential,2008-05-20,156000,38.693724,-121.307169,True
203,2028 ROBERT WAY,SACRAMENTO,95825,CA,2,1,810,Residential,2008-05-20,156000,38.609982,-121.419263,True
204,9346 AIZENBERG CIR,ELK GROVE,95624,CA,2,2,1123,Residential,2008-05-20,156000,38.41875,-121.370019,True
205,4524 LOCH HAVEN WAY,SACRAMENTO,95842,CA,2,1,904,Residential,2008-05-20,157788,38.67273,-121.359645,True
206,7140 BLUE SPRINGS WAY,CITRUS HEIGHTS,95621,CA,3,2,1156,Residential,2008-05-20,161653,38.720653,-121.302241,True
207,4631 11TH AVE,SACRAMENTO,95820,CA,2,1,1321,Residential,2008-05-20,161829,38.541965,-121.452132,True
209,8515 DARTFORD DR,SACRAMENTO,95823,CA,3,2,1439,Residential,2008-05-20,168000,38.448288,-121.420719,True
210,4500 TIPPWOOD WAY,SACRAMENTO,95842,CA,3,2,1159,Residential,2008-05-20,169000,38.69951,-121.359989,True
211,2460 EL ROCCO WAY,RANCHO CORDOVA,95670,CA,3,2,1671,Residential,2008-05-20,175000,38.591477,-121.31534,True
212,8244 SUNBIRD WAY,SACRAMENTO,95823,CA,3,2,1740,Residential,2008-05-20,176250,38.457654,-121.431381,True
214,7863 CRESTLEIGH CT,ANTELOPE,95843,CA,2,2,1007,Residential,2008-05-20,180000,38.710889,-121.358876,True
215,7129 SPRINGMONT DR,ELK GROVE,95758,CA,3,2,1716,Residential,2008-05-20,180400,38.417649,-121.420294,True
217,2219 EL CANTO CIR,RANCHO CORDOVA,95670,CA,4,2,1829,Residential,2008-05-20,184500,38.592383,-121.318669,True
218,8907 GEMWOOD WAY,ELK GROVE,95758,CA,3,2,1555,Residential,2008-05-20,185000,38.435471,-121.441173,True
219,5925 MALEVILLE AVE,CARMICHAEL,95608,CA,4,2,1120,Residential,2008-05-20,189000,38.666564,-121.325717,True
220,7031 CANEVALLEY CIR,CITRUS HEIGHTS,95621,CA,3,2,1137,Residential,2008-05-20,194000,38.718693,-121.303619,True
222,4437 MITCHUM CT,ANTELOPE,95843,CA,3,2,1393,Residential,2008-05-20,200000,38.704407,-121.36113,True
223,2778 KAWEAH CT,CAMERON PARK,95682,CA,3,1,0,Residential,2008-05-20,201000,38.694052,-120.995589,True
224,1636 ALLENWOOD CIR,LINCOLN,95648,CA,4,2,0,Residential,2008-05-20,202500,38.879192,-121.309477,True
225,8151 QUAIL RIDGE CT,SACRAMENTO,95828,CA,3,2,1289,Residential,2008-05-20,205000,38.461296,-121.390858,True
226,4899 WIND CREEK DR,SACRAMENTO,95838,CA,4,2,1799,Residential,2008-05-20,205000,38.655887,-121.446119,True
228,6049 HAMBURG WAY,SACRAMENTO,95823,CA,4,3,1953,Residential,2008-05-20,205000,38.443253,-121.431992,True
230,3361 BOW MAR CT,CAMERON PARK,95682,CA,2,2,0,Residential,2008-05-20,210000,38.69437,-120.996602,True
231,1889 COLD SPRINGS RD,PLACERVILLE,95667,CA,2,1,948,Residential,2008-05-20,211500,38.739774,-120.860243,True
233,7944 SYLVAN OAK WAY,CITRUS HEIGHTS,95610,CA,3,2,1317,Residential,2008-05-20,215000,38.710388,-121.261096,True
235,6217 LEOLA WAY,SACRAMENTO,95824,CA,3,1,1360,Residential,2008-05-20,222381,38.513066,-121.451909,True
236,2340 HURLEY WAY,SACRAMENTO,95825,CA,0,0,0,Condo,2008-05-20,225000,38.588816,-121.408549,True
237,3035 BRUNNET LN,SACRAMENTO,95833,CA,3,2,1522,Residential,2008-05-20,225000,38.624762,-121.522775,True
239,9387 GRANITE FALLS CT,ELK GROVE,95624,CA,3,2,1465,Residential,2008-05-20,225000,38.419214,-121.348533,True
240,9257 CALDERA WAY,SACRAMENTO,95826,CA,4,2,1605,Residential,2008-05-20,228000,38.55821,-121.355022,True
241,441 ARLINGDALE CIR,RIO LINDA,95673,CA,4,2,1475,Residential,2008-05-20,229665,38.702893,-121.454949,True
242,2284 LOS ROBLES RD,MEADOW VISTA,95722,CA,3,1,1216,Residential,2008-05-20,230000,39.008159,-121.03623,True
244,4620 CHAMBERLIN CIR,ELK GROVE,95757,CA,3,2,1567,Residential,2008-05-20,230000,38.390557,-121.449805,True
247,2125 22ND AVE,SACRAMENTO,95822,CA,3,1,1291,Residential,2008-05-20,236250,38.534596,-121.493121,True
249,8830 ADUR RD,ELK GROVE,95624,CA,0,0,0,Residential,2008-05-20,242000,38.43742,-121.372876,True
250,7344 BUTTERBALL WAY,SACRAMENTO,95842,CA,3,2,1503,Residential,2008-05-20,245000,38.699489,-121.361828,True
251,8219 GWINHURST CIR,SACRAMENTO,95828,CA,4,3,2491,Residential,2008-05-20,245000,38.459711,-121.384283,True
252,3240 S ST,SACRAMENTO,95816,CA,2,1,1269,Residential,2008-05-20,245000,38.562296,-121.467489,True
253,221 PICASSO CIR,SACRAMENTO,95835,CA,0,0,0,Residential,2008-05-20,250000,38.676658,-121.528128,True
254,5706 GREENACRES WAY,ORANGEVALE,95662,CA,3,2,1176,Residential,2008-05-20,250000,38.669882,-121.213533,True
255,6900 LONICERA DR,ORANGEVALE,95662,CA,4,2,1456,Residential,2008-05-20,250000,38.692199,-121.250975,True
256,419 DAWNRIDGE RD,ROSEVILLE,95678,CA,3,2,1498,Residential,2008-05-20,250000,38.725283,-121.297953,True
258,6344 BONHAM CIR,CITRUS HEIGHTS,95610,CA,5,4,2085,Multi-Family,2008-05-20,256054,38.682358,-121.272876,True
260,7922 MANSELL WAY,ELK GROVE,95758,CA,4,2,1595,Residential,2008-05-20,260000,38.409634,-121.410787,True
263,1570 GLIDDEN AVE,SACRAMENTO,95822,CA,4,2,1253,Residential,2008-05-20,264469,38.482704,-121.500433,True
264,8108 FILIFERA WAY,ANTELOPE,95843,CA,4,3,1768,Residential,2008-05-20,265000,38.717042,-121.35468,True
265,230 BANKSIDE WAY,SACRAMENTO,95835,CA,0,0,0,Residential,2008-05-20,270000,38.676937,-121.529244,True
266,5342 CALABRIA WAY,SACRAMENTO,95835,CA,4,3,2030,Residential,2008-05-20,270000,38.671807,-121.498274,True
267,47 NAPONEE CT,SACRAMENTO,95835,CA,3,2,1531,Residential,2008-05-20,270000,38.665704,-121.529096,True
268,4236 ADRIATIC SEA WAY,SACRAMENTO,95834,CA,0,0,0,Residential,2008-05-20,270000,38.647961,-121.543162,True
269,8864 REMBRANT CT,ELK GROVE,95624,CA,4,3,1653,Residential,2008-05-20,275000,38.435288,-121.375703,True
274,1416 LOCKHART WAY,ROSEVILLE,95747,CA,3,2,1440,Residential,2008-05-20,292000,38.752399,-121.330328,True
275,5413 BUENA VENTURA WAY,FAIR OAKS,95628,CA,3,2,1527,Residential,2008-05-20,293993,38.664552,-121.255937,True
277,405 MARLIN SPIKE WAY,SACRAMENTO,95838,CA,3,2,1411,Residential,2008-05-20,296769,38.65783,-121.456842,True
278,1102 CHESLEY LN,LINCOLN,95648,CA,4,4,0,Residential,2008-05-20,297500,38.864864,-121.313988,True
280,7320 6TH ST,RIO LINDA,95673,CA,3,1,1284,Residential,2008-05-20,300000,38.700553,-121.452223,True
281,993 MANTON CT,GALT,95632,CA,4,3,2307,Residential,2008-05-20,300000,38.272942,-121.289148,True
282,4487 PANORAMA DR,PLACERVILLE,95667,CA,3,2,1329,Residential,2008-05-20,300000,38.694559,-120.848157,True
283,5651 OVERLEAF WAY,SACRAMENTO,95835,CA,4,2,1910,Residential,2008-05-20,300500,38.677454,-121.494791,True
286,15 VANESSA PL,SACRAMENTO,95835,CA,0,0,0,Residential,2008-05-20,312500,38.668692,-121.54549,True
287,1312 RENISON LN,LINCOLN,95648,CA,5,3,0,Residential,2008-05-20,315000,38.866409,-121.308485,True
288,8 RIVER RAFT CT,SACRAMENTO,95823,CA,4,2,2205,Residential,2008-05-20,319789,38.447353,-121.434969,True
289,2251 LAMPLIGHT LN,LINCOLN,95648,CA,2,2,1449,Residential,2008-05-20,330000,38.849924,-121.275729,True
290,106 FARHAM DR,FOLSOM,95630,CA,3,2,1258,Residential,2008-05-20,330000,38.667834,-121.168578,True
291,5405 NECTAR CIR,ELK GROVE,95757,CA,3,2,2575,Residential,2008-05-20,331000,38.387014,-121.440967,True
293,3512 RAINSONG CIR,RANCHO CORDOVA,95670,CA,4,3,2208,Residential,2008-05-20,336000,38.573488,-121.282809,True
294,1106 55TH ST,SACRAMENTO,95819,CA,3,1,1108,Residential,2008-05-20,339000,38.563805,-121.436395,True
295,411 ILLSLEY WAY,FOLSOM,95630,CA,4,2,1595,Residential,2008-05-20,339000,38.652002,-121.129504,True
297,1230 SANDRA CIR,PLACERVILLE,95667,CA,4,3,2295,Residential,2008-05-20,350000,38.738141,-120.784145,True
298,318 ANACAPA DR,ROSEVILLE,95678,CA,3,2,1838,Residential,2008-05-20,356000,38.782094,-121.297133,True
299,3975 SHINING STAR DR,SACRAMENTO,95823,CA,4,2,1900,Residential,2008-05-20,361745,38.487409,-121.461413,True
300,1620 BASLER ST,SACRAMENTO,95811,CA,4,2,1718,Residential,2008-05-20,361948,38.591822,-121.478644,True
301,9688 NATURE TRAIL WAY,ELK GROVE,95757,CA,5,3,3389,Residential,2008-05-20,370000,38.405224,-121.479275,True
302,5924 TANUS CIR,ROCKLIN,95677,CA,4,2,0,Residential,2008-05-20,380000,38.778691,-121.204292,True
303,9629 CEDAR OAK WAY,ELK GROVE,95757,CA,5,4,3260,Residential,2008-05-20,385000,38.405527,-121.431746,True
304,3429 FERNBROOK CT,CAMERON PARK,95682,CA,3,2,2016,Residential,2008-05-20,399000,38.664225,-121.007173,True
306,10104 ANNIE ST,ELK GROVE,95757,CA,4,3,2724,Residential,2008-05-20,406026,38.390465,-121.443479,True
307,1092 MAUGHAM CT,GALT,95632,CA,5,4,3746,Residential,2008-05-20,420000,38.271646,-121.286848,True
308,5404 ALMOND FALLS WAY,RANCHO CORDOVA,95742,CA,0,0,0,Residential,2008-05-20,425000,38.527502,-121.233492,True
310,14 CASA VATONI PL,SACRAMENTO,95834,CA,0,0,0,Residential,2008-05-20,433500,38.650221,-121.551704,True
311,1456 EAGLESFIELD LN,LINCOLN,95648,CA,4,3,0,Residential,2008-05-20,436746,38.857635,-121.311375,True
312,4100 BOTHWELL CIR,EL DORADO HILLS,95762,CA,5,3,0,Residential,2008-05-20,438700,38.679136,-121.034329,True
313,427 21ST ST,SACRAMENTO,95811,CA,2,1,1247,Residential,2008-05-20,445000,38.582604,-121.47576,True
314,1044 GALSTON DR,FOLSOM,95630,CA,4,2,2581,Residential,2008-05-20,450000,38.676306,-121.09954,True
315,4440 SYCAMORE AVE,SACRAMENTO,95841,CA,3,1,2068,Residential,2008-05-20,460000,38.646374,-121.353658,True
316,1032 SOUZA DR,EL DORADO HILLS,95762,CA,3,2,0,Residential,2008-05-20,460000,38.668239,-121.064437,True
