street,zip,state,city,beds,baths,sq__ft,type,sale_date,price,latitude,longitude,price_mean,price_median,n_price_mean,s_price_mean,n_sq__ft,s_sq__ft
645 MORRISON AVE,95838,CA,SACRAMENTO,3,2,909,Residential,2008-05-21T00:00:00Z,100309.0,38.637663,-121.45152,100309.0,100309.0,0.11181345026657563,-0.9879113016312329,0.15613191343181038,-0.4776488353486842
4085 FAWN CIR,95823,CA,SACRAMENTO,3,2,1289,Residential,2008-05-21T00:00:00Z,106250.0,38.47074600000001,-121.458918,106250.0,106250.0,0.11853982897041458,-0.9439742848746333,0.22140158021298523,-0.03248174489095519
2930 LA ROSA RD,95815,CA,SACRAMENTO,1,1,871,Residential,2008-05-21T00:00:00Z,106852.0,38.618698,-121.435833,106852.0,106852.0,0.1192214111922141,-0.9395221582818924,0.1496049467536929,-0.5221655443944571
2113 KIRK WAY,95822,CA,SACRAMENTO,3,1,1020,Residential,2008-05-21T00:00:00Z,107502.0,38.482215,-121.492603,107502.0,107502.0,0.11995733884033653,-0.9347150448511923,0.17519752662315355,-0.3476131852412949
4533 LOCH HAVEN WAY,95842,CA,SACRAMENTO,2,2,1022,Residential,2008-05-21T00:00:00Z,108750.0,38.672914,-121.35934,108750.0,108750.0,0.12137031992473159,-0.925485387064248,0.17554105118515975,-0.3452702005546753
7340 HAMDEN PL,95842,CA,SACRAMENTO,2,2,1134,Condo,2008-05-21T00:00:00Z,,38.700051,-121.351278,145874.95,156394.0,0.16340305398652008,-0.6509256243579826,0.194778426657506,-0.21406305810397622
6715 6TH ST,95673,CA,RIO LINDA,2,1,844,Residential,2008-05-21T00:00:00Z,113263.0,38.689591,-121.452239,113263.0,113263.0,0.12647992219546464,-0.8921092287369404,0.1449673651666094,-0.553795837663822
6236 LONGFORD DR Unit 1,95621,CA,CITRUS HEIGHTS,2,1,795,Condo,2008-05-21T00:00:00Z,,38.679776,-121.314089,179974.0,183918.0,0.20200987501684142,-0.3987440840054953,0.13655101339745793,-0.6111989624860028
250 PERALTA AVE,95833,CA,SACRAMENTO,2,1,588,Residential,2008-05-21T00:00:00Z,120000.0,38.612099,-121.469095,120000.0,120000.0,0.1341075292191581,-0.8422853469175142,0.10099622122981793,-0.8536978775511341
113 LEEWILL AVE,95673,CA,RIO LINDA,3,2,1356,Residential,2008-05-21T00:00:00Z,121630.0,38.689999,-121.46322,121630.0,121630.0,0.1359530093213728,-0.830230585545143,0.23290965304019237,0.04600824211080229
6118 STONEHAND AVE,95621,CA,CITRUS HEIGHTS,3,2,1118,Residential,2008-05-21T00:00:00Z,,38.707851,-121.320707,179974.0,183918.0,0.20200987501684142,-0.3987440840054953,0.19203023016145654,-0.23280693559693322
4882 BANDALIN WAY,95823,CA,SACRAMENTO,4,2,1329,Residential,2008-05-21T00:00:00Z,122682.0,38.468173,-121.444071,122682.0,122682.0,0.1371440799149494,-0.8224504573465329,0.2282720714531089,0.014377948841437333
7511 OAKVALE CT,95660,CA,NORTH HIGHLANDS,4,2,1240,Residential,2008-05-21T00:00:00Z,123000.0,38.702792,-121.38221,123000.0,123000.0,0.13750411836433854,-0.8200986695450518,0.21298522844383375,-0.08988486971313603
9 PASTURE CT,95834,CA,SACRAMENTO,3,2,1601,Residential,2008-05-21T00:00:00Z,124100.0,38.628631,-121.488097,124100.0,124100.0,0.138749534384238,-0.8119635545084823,0.27499141188594983,0.3330238662217065
3729 BAINBRIDGE DR,95660,CA,NORTH HIGHLANDS,3,2,901,Residential,2008-05-21T00:00:00Z,125000.0,38.701499,-121.37622,125000.0,125000.0,0.13976851112779215,-0.8053075512967436,0.15475781518378565,-0.48702077409516265
3828 BLACKFOOT WAY,95843,CA,ANTELOPE,3,2,1088,Residential,2008-05-21T00:00:00Z,126640.0,38.70974,-121.37377,126640.0,126640.0,0.1416253131938241,-0.7931788343331309,0.1868773617313638,-0.26795170589622763
4108 NORTON WAY,95820,CA,SACRAMENTO,3,1,963,Residential,2008-05-21T00:00:00Z,127281.0,38.537526,-121.478315,127281.0,127281.0,0.142351051074511,-0.788438280934548,0.16540707660597734,-0.4143882488099543
1469 JANRICK AVE,95832,CA,SACRAMENTO,3,2,1119,Residential,2008-05-21T00:00:00Z,129000.0,38.476472,-121.501711,129000.0,129000.0,0.14429729665469934,-0.7757253148001272,0.19220199244245964,-0.23163544325362342
9861 CULP WAY,95827,CA,SACRAMENTO,4,2,1380,Residential,2008-05-21T00:00:00Z,131200.0,38.558423,-121.327948,131200.0,131200.0,0.1467881286944983,-0.7594550847269881,0.23703194778426656,0.0741240583502378
7825 CREEK VALLEY CIR,95828,CA,SACRAMENTO,3,2,1248,Residential,2008-05-21T00:00:00Z,132000.0,38.472122,-121.404199,132000.0,132000.0,0.14769388579987977,-0.7535386374276648,0.21435932669185848,-0.08051293096665753
5201 LAGUNA OAKS DR Unit 140,95758,CA,ELK GROVE,2,2,1039,Condo,2008-05-21T00:00:00Z,133000.0,38.423251,-121.444489,133000.0,133000.0,0.14882608218160656,-0.7461430783035107,0.17846100996221229,-0.3253548307184085
6768 MEDORA DR,95660,CA,NORTH HIGHLANDS,3,2,1152,Residential,2008-05-21T00:00:00Z,134555.0,38.691161,-121.37192,134555.0,134555.0,0.15058664755519174,-0.734642983865451,0.19787014771556166,-0.19297619592439957
3100 EXPLORER DR,95827,CA,SACRAMENTO,3,2,1380,Residential,2008-05-21T00:00:00Z,136500.0,38.566663,-121.332644,136500.0,136500.0,0.15278876951765039,-0.7202586213689713,0.23703194778426656,0.0741240583502378
7944 DOMINION WAY,95626,CA,ELVERTA,3,2,1116,Residential,2008-05-21T00:00:00Z,138750.0,38.713182,-121.411227,138750.0,138750.0,0.1553362113765357,-0.7036186133396245,0.19168670559945036,-0.23514992028355286
5201 LAGUNA OAKS DR Unit 162,95758,CA,ELK GROVE,2,2,1039,Condo,2008-05-21T00:00:00Z,141000.0,38.423251,-121.444489,141000.0,141000.0,0.157883653235421,-0.6869786053102778,0.17846100996221229,-0.3253548307184085
3920 SHINING STAR DR,95823,CA,SACRAMENTO,3,2,1418,Residential,2008-05-21T00:00:00Z,146250.0,38.48742,-121.462459,146250.0,146250.0,0.1638276842394867,-0.6481519199084687,0.24355891446238406,0.1186407673960107
5031 CORVAIR ST,95660,CA,NORTH HIGHLANDS,3,2,1082,Residential,2008-05-21T00:00:00Z,,38.65824600000001,-121.375469,135344.1052631579,125000.0,0.15148006967894068,-0.7288071092365856,0.18584678804534524,-0.2749806599560865
7661 NIXOS WAY,95823,CA,SACRAMENTO,4,2,1472,Residential,2008-05-21T00:00:00Z,148750.0,38.479553,-121.463317,148750.0,148750.0,0.16665817519380371,-0.6296630220980834,0.252834077636551,0.1819013539347406
7044 CARTHY WAY,95828,CA,SACRAMENTO,4,2,1146,Residential,2008-05-21T00:00:00Z,,38.49857,-121.420925,181664.90243902442,165000.0,0.2039243086401579,-0.3862389150445139,0.1968395740295431,-0.20000514998425847
2442 LARKSPUR LN,95825,CA,SACRAMENTO,1,1,760,Condo,2008-05-21T00:00:00Z,150000.0,38.58514,-121.403736,150000.0,150000.0,0.16807342067096223,-0.6204185731928907,0.1305393335623497,-0.6522011945018463
4800 WESTLAKE PKWY Unit 2109,95835,CA,SACRAMENTO,2,2,1304,Condo,2008-05-21T00:00:00Z,152000.0,38.658812,-121.542345,152000.0,152000.0,0.1703378134344158,-0.6056274549445826,0.2239780144280316,-0.014909359741307995
2178 63RD AVE,95822,CA,SACRAMENTO,3,2,1207,Residential,2008-05-21T00:00:00Z,154000.0,38.493955,-121.48966,154000.0,154000.0,0.17260220619786942,-0.5908363366962743,0.2073170731707317,-0.12854411704235988
8718 ELK WAY,95624,CA,ELK GROVE,3,2,1056,Residential,2008-05-21T00:00:00Z,156896.0,38.41653,-121.379653,156896.0,156896.0,0.17588104691935025,-0.569418797472724,0.18138096873926485,-0.30543946088214163
5708 RIDGEPOINT DR,95843,CA,ANTELOPE,2,2,1043,Residential,2008-05-21T00:00:00Z,161250.0,38.72027,-121.331555,161250.0,161250.0,0.18081062996538877,-0.537218533046157,0.17914805908622466,-0.3206688613451692
7315 KOALA CT,95660,CA,NORTH HIGHLANDS,4,2,1587,Residential,2008-05-21T00:00:00Z,161500.0,38.699251,-121.371414,161500.0,161500.0,0.18109367906082047,-0.5353696432651185,0.2725867399519066,0.3166229734153691
2622 ERIN DR,95833,CA,SACRAMENTO,4,1,1120,Residential,2008-05-21T00:00:00Z,,38.613765,-121.488694,202059.3333333333,207450.0,0.22701480950607175,-0.23541069556217717,0.19237375472346271,-0.2304639509103136
8421 SUNBLAZE WAY,95823,CA,SACRAMENTO,4,2,1580,Residential,2008-05-21T00:00:00Z,165000.0,38.450543,-121.432538,165000.0,165000.0,0.18505636639686426,-0.509485186330579,0.2713844039848849,0.3084225270122004
7420 ALIX PKWY,95823,CA,SACRAMENTO,4,1,1955,Residential,2008-05-21T00:00:00Z,166357.0,38.489405,-121.452811,166357.0,166357.0,0.18659275688686755,-0.4994494125991019,0.3357952593610443,0.7477321557533804
3820 NATOMA WAY,95838,CA,SACRAMENTO,4,2,1656,Residential,2008-05-21T00:00:00Z,166357.0,38.636748,-121.422159,166357.0,166357.0,0.18659275688686755,-0.4994494125991019,0.2844383373411199,0.3974559451037462
4431 GREEN TREE DR,95823,CA,SACRAMENTO,3,2,1477,Residential,2008-05-21T00:00:00Z,168000.0,38.499954,-121.454469,168000.0,168000.0,0.1884529555420447,-0.4872985089581167,0.25369288904156645,0.18775881565128966
9417 SARA ST,95624,CA,ELK GROVE,3,2,1188,Residential,2008-05-21T00:00:00Z,,38.415518,-121.370527,253319.37931034484,233500.0,0.28505124808839377,0.14368600516766983,0.20405358983167296,-0.15080247156524632
8299 HALBRITE WAY,95828,CA,SACRAMENTO,4,2,1590,Residential,2008-05-21T00:00:00Z,173000.0,38.473814,-121.4,173000.0,173000.0,0.1941139374506787,-0.45032071333734613,0.27310202679491585,0.32013745044529857
7223 KALLIE KAY LN,95823,CA,SACRAMENTO,3,2,1463,Residential,2008-05-21T00:00:00Z,174250.0,38.477553,-121.419463,174250.0,174250.0,0.1955291829278372,-0.4410762644321535,0.2512882171075232,0.1713579228449523
8156 STEINBECK WAY,95828,CA,SACRAMENTO,4,2,1714,Residential,2008-05-21T00:00:00Z,174313.0,38.474853,-121.406326,174313.0,174313.0,0.19560051129988598,-0.4406103442073318,0.29440054963929924,0.4654025010157154
7957 VALLEY GREEN DR,95823,CA,SACRAMENTO,3,2,1185,Residential,2008-05-21T00:00:00Z,178480.0,38.465184,-121.434925,178480.0,178480.0,0.20031837362254157,-0.4097930493369816,0.20353830298866368,-0.15431694859517575
1122 WILD POPPY CT,95632,CA,GALT,3,2,1406,Residential,2008-05-21T00:00:00Z,178760.0,38.287789,-121.294715,178760.0,178760.0,0.2006353886094251,-0.40772229278221844,0.24149776709034695,0.10458285927629295
4520 BOMARK WAY,95842,CA,SACRAMENTO,4,2,1943,Multi-Family,2008-05-21T00:00:00Z,179580.0,38.665724,-121.358576,179580.0,179580.0,0.20156378964244107,-0.4016579343004121,0.3337341119890072,0.7336742476336626
9012 KIEFER BLVD,95826,CA,SACRAMENTO,3,2,1172,Residential,2008-05-21T00:00:00Z,181000.0,38.547011,-121.366217,181000.0,181000.0,0.20317150850449311,-0.3911562403441132,0.2013053933356235,-0.16954634905820332
5332 SANDSTONE ST,95608,CA,CARMICHAEL,3,1,1152,Residential,2008-05-21T00:00:00Z,181872.0,38.662105,-121.313945,181872.0,181872.0,0.2041587837493589,-0.38470731278785086,0.19787014771556166,-0.19297619592439957
5993 SAWYER CIR,95823,CA,SACRAMENTO,4,3,1851,Residential,2008-05-21T00:00:00Z,182587.0,38.4473,-121.435218,182587.0,182587.0,0.20496830416229356,-0.37941948801408065,0.3179319821367228,0.6258969520491597
4844 CLYDEBANK WAY,95843,CA,ANTELOPE,3,2,1215,Residential,2008-05-21T00:00:00Z,182716.0,38.714609,-121.347887,182716.0,182716.0,0.2051143574955363,-0.3784654608870648,0.20869117141875645,-0.11917217829588136
306 CAMELLIA WAY,95632,CA,GALT,3,2,1130,Residential,2008-05-21T00:00:00Z,182750.0,38.260443,-121.297864,182750.0,182750.0,0.20515285217251503,-0.37821401187684356,0.19409137753349365,-0.21874902747721547
9021 MADISON AVE,95662,CA,ORANGEVALE,4,2,1603,Residential,2008-05-21T00:00:00Z,183200.0,38.664186,-121.21751100000002,183200.0,183200.0,0.20566234054429208,-0.3748860102709742,0.27533493644795604,0.33536685090832613
404 6TH ST,95632,CA,GALT,3,1,1479,Residential,2008-05-21T00:00:00Z,188741.0,38.251808,-121.302493,188741.0,188741.0,0.2119358406954403,-0.3339072171640362,0.25403641360357265,0.1901018003379093
8317 SUNNY CREEK WAY,95823,CA,SACRAMENTO,3,2,1420,Residential,2008-05-21T00:00:00Z,189000.0,38.459041,-121.424644,189000.0,189000.0,0.21222907955830755,-0.3319917673508803,0.24390243902439024,0.12098375208263032
2617 BASS CT,95826,CA,SACRAMENTO,3,2,1280,Residential,2008-05-21T00:00:00Z,,38.560767,-121.377471,184649.42857142855,178047.5,0.20730337832843496,-0.3641666755747361,0.2198557196839574,-0.043025175980743506
7005 TIANT WAY,95758,CA,ELK GROVE,3,2,1586,Residential,2008-05-21T00:00:00Z,194000.0,38.422811,-121.423285,194000.0,194000.0,0.21789006146694156,-0.29501397173010974,0.27241497767090345,0.3154514810720593
7895 CABER WAY,95843,CA,ANTELOPE,3,2,1362,Residential,2008-05-21T00:00:00Z,194818.0,38.711279,-121.393449,194818.0,194818.0,0.21881619810719408,-0.2889644043665517,0.23394022672621093,0.05303719617066117
7624 BOGEY CT,95828,CA,SACRAMENTO,4,4,2162,Multi-Family,2008-05-21T00:00:00Z,195000.0,38.48009,-121.415102,195000.0,195000.0,0.21902225784866836,-0.2876184126059556,0.3713500515286843,0.9902310708185117
6930 HAMPTON COVE WAY,95823,CA,SACRAMENTO,3,2,1266,Residential,2008-05-21T00:00:00Z,,38.44004,-121.421012,175721.1379310345,170500.0,0.1971947999703755,-0.4301963768834022,0.2174510477499141,-0.05942606878708089
8708 MESA BROOK WAY,95624,CA,ELK GROVE,4,2,1715,Residential,2008-05-21T00:00:00Z,199500.0,38.44076,-121.385792,199500.0,199500.0,0.22411714156643897,-0.25433839654726215,0.2945723119203023,0.46657399335902516
120 GRANT LN,95630,CA,FOLSOM,3,2,1820,Residential,2008-05-21T00:00:00Z,200000.0,38.687742,-121.17104,200000.0,200000.0,0.2246832397573024,-0.2506406169851851,0.31260735142562696,0.5895806894065556
5907 ELLERSLEE DR,95608,CA,CARMICHAEL,3,1,936,Residential,2008-05-21T00:00:00Z,200000.0,38.664468,-121.32683,200000.0,200000.0,0.2246832397573024,-0.2506406169851851,0.16076949501889384,-0.44601854207931924
17 SERASPI CT,95834,CA,SACRAMENTO,0,0,0,Residential,2008-05-21T00:00:00Z,206000.0,38.631481,-121.50188,206000.0,206000.0,0.2314764180476632,-0.20626726224026037,0.0,-1.5425353754173043
170 PENHOW CIR,95834,CA,SACRAMENTO,3,2,1511,Residential,2008-05-21T00:00:00Z,208000.0,38.653439,-121.535169,208000.0,208000.0,0.2337408108111168,-0.19147614399195215,0.2595328065956716,0.22758955532382333
8345 STAR THISTLE WAY,95823,CA,SACRAMENTO,4,2,1590,Residential,2008-05-21T00:00:00Z,212864.0,38.454349,-121.439239,212864.0,212864.0,0.23924781401183598,-0.15550414441206653,0.27310202679491585,0.32013745044529857
9080 FRESCA WAY,95758,CA,ELK GROVE,4,2,1596,Residential,2008-05-21T00:00:00Z,221000.0,38.427818,-121.424026,221000.0,221000.0,0.24845936377356526,-0.09533387537794867,0.2741326004809344,0.32716640450515744
391 NATALINO CIR,95835,CA,SACRAMENTO,2,2,1341,Residential,2008-05-21T00:00:00Z,221000.0,38.67307,-121.506373,221000.0,221000.0,0.24845936377356526,-0.09533387537794867,0.23033321882514599,0.02843585696115509
8373 BLACKMAN WAY,95624,CA,ELK GROVE,5,3,2136,Residential,2008-05-21T00:00:00Z,223058.0,38.435436,-121.39453600000002,223058.0,223058.0,0.250789423927159,-0.0801138147004395,0.3668842322226039,0.9597722698924565
9837 CORTE DORADO CT,95624,CA,ELK GROVE,4,2,1616,Residential,2008-05-21T00:00:00Z,227887.0,38.400676,-121.38101,227887.0,227887.0,0.25625680025451775,-0.044400659689899286,0.2775678461009962,0.3505962513713537
5037 J PKWY,95823,CA,SACRAMENTO,3,2,1478,Residential,2008-05-21T00:00:00Z,231477.0,38.491399,-121.443547,231477.0,231477.0,0.260321385264917,-0.017850602434186017,0.2538646513225696,0.18893030799459948
10245 LOS PALOS DR,95670,CA,RANCHO CORDOVA,3,2,1287,Residential,2008-05-21T00:00:00Z,234697.0,38.593699,-121.31089,234697.0,234697.0,0.2639670576140773,0.005963097945590232,0.22105805565097905,-0.03482472957757482
6613 NAVION DR,95621,CA,CITRUS HEIGHTS,4,2,1277,Residential,2008-05-21T00:00:00Z,,38.702855,-121.31308,179974.0,183918.0,0.20200987501684142,-0.3987440840054953,0.21934043284094812,-0.04653965301067295
2887 AZEVEDO DR,95833,CA,SACRAMENTO,4,2,1448,Residential,2008-05-21T00:00:00Z,236000.0,38.618457,-121.509439,236000.0,236000.0,0.2654423094994673,0.015599511484363043,0.2487117828924768,0.1537855376953051
9186 KINBRACE CT,95829,CA,SACRAMENTO,4,3,2235,Residential,2008-05-21T00:00:00Z,236685.0,38.463355,-121.358936,236685.0,236685.0,0.26621786402095016,0.02066546948440861,0.38388869804191,1.075750011880128
4243 MIDDLEBURY WAY,95655,CA,MATHER,3,2,2093,Residential,2008-05-21T00:00:00Z,237800.0,38.547991,-121.280483,237800.0,237800.0,0.26748026298657557,0.028911517907840446,0.35949845413947096,0.9093980991301346
1028 FALLON PLACE CT,95673,CA,RIO LINDA,3,2,1193,Residential,2008-05-21T00:00:00Z,,38.693818,-121.441153,167111.41666666663,150250.0,0.1874469047071819,-0.4938700795365216,0.2049124012366884,-0.14494500984869724
4804 NORIKER DR,95757,CA,ELK GROVE,3,2,2163,Residential,2008-05-21T00:00:00Z,242638.0,38.400974,-121.448424,242638.0,242638.0,0.27295782908136984,0.06469123295049806,0.3715218138096874,0.9914025631618214
7713 HARVEST WOODS DR,95828,CA,SACRAMENTO,3,2,1269,Residential,2008-05-21T00:00:00Z,244000.0,38.478198,-121.412911,244000.0,244000.0,0.2744998805532817,0.07476398447759595,0.2179663345929234,-0.055911591757151456
2866 KARITSA AVE,95833,CA,SACRAMENTO,0,0,0,Residential,2008-05-21T00:00:00Z,244500.0,38.626671,-121.52597,244500.0,244500.0,0.2750659787441451,0.07846176403967302,0.0,-1.5425353754173043
6913 RICHEVE WAY,95828,CA,SACRAMENTO,3,1,958,Residential,2008-05-21T00:00:00Z,244960.0,38.502519,-121.420769,244960.0,244960.0,0.27558678907973944,0.0818637212367839,0.16454826520096186,-0.42024571052650334
8636 TEGEA WAY,95624,CA,ELK GROVE,5,3,2508,Residential,2008-05-21T00:00:00Z,245918.0,38.443832,-121.382087,245918.0,245918.0,0.27667143321343374,0.08894866687772354,0.43077980075575406,1.395567421603707
5448 MAIDSTONE WAY,95621,CA,CITRUS HEIGHTS,3,2,1305,Residential,2008-05-21T00:00:00Z,250000.0,38.665395,-121.293288,250000.0,250000.0,0.28129305884364253,0.11913733922252064,0.2241497767090347,-0.013737867397998182
18 OLLIE CT,95758,CA,ELK GROVE,4,2,1591,Residential,2008-05-21T00:00:00Z,250000.0,38.444909,-121.412345,250000.0,250000.0,0.28129305884364253,0.11913733922252064,0.2732737890759189,0.3213089427886084
4010 ALEX LN,95608,CA,CARMICHAEL,2,2,1326,Condo,2008-05-21T00:00:00Z,250134.0,38.637028,-121.31296299999998,250134.0,250134.0,0.28144477315879396,0.12012834414515729,0.22775678461009963,0.010863471811507893
4901 MILLNER WAY,95757,CA,ELK GROVE,3,2,1843,Residential,2008-05-21T00:00:00Z,254200.0,38.38692,-121.447349,254200.0,254200.0,0.2860482836468951,0.15019868754396792,0.31655788388869804,0.6165250133026813
4818 BRITTNEY LEE CT,95841,CA,SACRAMENTO,4,2,1921,Residential,2008-05-21T00:00:00Z,254200.0,38.653917,-121.34218,254200.0,254200.0,0.2860482836468951,0.15019868754396792,0.3299553418069392,0.7079014160808467
5529 LAGUNA PARK DR,95758,CA,ELK GROVE,5,3,2790,Residential,2008-05-21T00:00:00Z,258000.0,38.42568,-121.43806200000002,258000.0,258000.0,0.29035062989745697,0.17830181221575356,0.4792167639986259,1.7259282624170742
230 CANDELA CIR,95835,CA,SACRAMENTO,3,2,1541,Residential,2008-05-21T00:00:00Z,260000.0,38.656251,-121.547572,260000.0,260000.0,0.2926150226609106,0.19309293046406178,0.26468567502576434,0.2627343256231177
4900 71ST ST,95820,CA,SACRAMENTO,3,1,1018,Residential,2008-05-21T00:00:00Z,260014.0,38.53151,-121.421089,260014.0,260014.0,0.29263087341025473,0.19319646829179993,0.17485400206114737,-0.34995616992791456
12209 CONSERVANCY WAY,95742,CA,RANCHO CORDOVA,0,0,0,Residential,2008-05-21T00:00:00Z,263500.0,38.553867,-121.219141,263500.0,263500.0,0.2965777099969544,0.21897738739860118,0.0,-1.5425353754173043
4236 NATOMAS CENTRAL DR,95834,CA,SACRAMENTO,3,2,1672,Condo,2008-05-21T00:00:00Z,265000.0,38.648879,-121.544023,265000.0,265000.0,0.2982760045695446,0.23007072608483234,0.28718653383716936,0.41619982259670324
5615 LUPIN LN,95726,CA,POLLOCK PINES,3,2,1380,Residential,2008-05-21T00:00:00Z,265000.0,38.708315,-120.603872,265000.0,265000.0,0.2982760045695446,0.23007072608483234,0.23703194778426656,0.0741240583502378
5625 JAMES WAY,95822,CA,SACRAMENTO,3,1,975,Residential,2008-05-21T00:00:00Z,271742.0,38.523947,-121.484946,271742.0,271742.0,0.3059092725751467,0.27993158569987936,0.16746822397801442,-0.4003303406902365
7842 LAHONTAN CT,95829,CA,SACRAMENTO,4,3,2372,Residential,2008-05-21T00:00:00Z,273750.0,38.472976,-121.318633,273750.0,273750.0,0.30818272290965415,0.29478186842118087,0.40742013053933357,1.2362444629135725
6850 21ST ST,95822,CA,SACRAMENTO,3,2,1446,Residential,2008-05-21T00:00:00Z,275086.0,38.502194,-121.490795,275086.0,275086.0,0.30969533727564114,0.30466233541105076,0.24836825833047063,0.15144255300868548
2900 BLAIR RD,95726,CA,POLLOCK PINES,2,2,1284,Residential,2008-05-21T00:00:00Z,280908.0,38.75485,-120.60476,280908.0,280908.0,0.31628698461005456,0.347719280631876,0.22054276880796977,-0.038339206607504256
2064 EXPEDITION WAY,95832,CA,SACRAMENTO,4,3,3009,Residential,2008-05-21T00:00:00Z,280987.0,38.474099,-121.490711,280987.0,280987.0,0.316376428124211,0.3483035298026842,0.516832703538303,1.9824850856019234
2912 NORCADE CIR,95826,CA,SACRAMENTO,8,4,3612,Multi-Family,2008-05-21T00:00:00Z,282400.0,38.559505,-121.364839,282400.0,282400.0,0.31797622161159095,0.35875345484511395,0.6204053589831673,2.6888949686177406
9507 SEA CLIFF WAY,95758,CA,ELK GROVE,4,2,2056,Residential,2008-05-21T00:00:00Z,285000.0,38.410992,-121.479043,285000.0,285000.0,0.32091993220408066,0.37798190856791464,0.35314324974235656,0.8660528824276714
8882 AUTUMN GOLD CT,95624,CA,ELK GROVE,4,2,1993,Residential,2008-05-21T00:00:00Z,287417.0,38.4439,-121.37255,287417.0,287417.0,0.32365645085871436,0.39585697497099515,0.3423222260391618,0.7922488647991532
5322 WHITE LOTUS WAY,95757,CA,ELK GROVE,3,2,1857,Residential,2008-05-21T00:00:00Z,291000.0,38.391538,-121.442596,291000.0,291000.0,0.32771311049444146,0.4223552633128393,0.3189625558227413,0.6329259061090187
1838 CASTRO WAY,95818,CA,SACRAMENTO,2,1,1126,Residential,2008-05-21T00:00:00Z,292024.0,38.556098,-121.490787,292024.0,292024.0,0.32887247958932975,0.42992831585597313,0.19340432840948127,-0.22343499685045473
10158 CRAWFORD WAY,95827,CA,SACRAMENTO,4,4,2213,Multi-Family,2008-05-21T00:00:00Z,297000.0,38.5703,-121.315735,297000.0,297000.0,0.3345062887848023,0.466728618057764,0.380109927859842,1.0499771803273121
7731 MASTERS ST,95758,CA,ELK GROVE,5,3,2494,Residential,2008-05-21T00:00:00Z,297000.0,38.442031,-121.410873,297000.0,297000.0,0.3345062887848023,0.466728618057764,0.42837512882171075,1.3791665287973696
4925 PERCHERON DR,95757,CA,ELK GROVE,3,2,1843,Residential,2008-05-21T00:00:00Z,298000.0,38.40154,-121.447649,298000.0,298000.0,0.3356384851665291,0.4741241771819181,0.31655788388869804,0.6165250133026813
2010 PROMONTORY POINT LN,95670,CA,GOLD RIVER,2,2,1520,Residential,2008-05-21T00:00:00Z,299000.0,38.62869,-121.261669,299000.0,299000.0,0.3367706815482559,0.48151973630607225,0.2610786671246994,0.23813298641361164
4727 SAVOIE WAY,95835,CA,SACRAMENTO,5,3,2800,Residential,2008-05-21T00:00:00Z,304037.0,38.658182,-121.549521,304037.0,304037.0,0.34247355472301383,0.5187711676144365,0.4809343868086568,1.7376431858501724
