street,zip,state,city,beds,baths,sq__ft,sale_date,price,latitude,longitude,price_mean,price_median,n_price_mean,s_price_mean,n_sq__ft,s_sq__ft,b_price,p_price,d_Condo,d_Multi-Family,d_Residential,d_Unkown
8708 MESA BROOK WAY,95624,CA,ELK GROVE,4,2,1715,2008-05-21T00:00:00Z,199500.0,38.44076,-121.385792,199500.0,199500.0,0.22411714156643892,-0.2543383965472621,0.2945723119203023,0.4665739933590252,2,5,0.0,0.0,1.0,0.0
120 GRANT LN,95630,CA,FOLSOM,3,2,1820,2008-05-21T00:00:00Z,200000.0,38.687742,-121.17104,200000.0,200000.0,0.2246832397573024,-0.2506406169851851,0.31260735142562696,0.5895806894065556,2,5,0.0,0.0,1.0,0.0
5907 ELLERSLEE DR,95608,CA,CARMICHAEL,3,1,936,2008-05-21T00:00:00Z,200000.0,38.664468,-121.32683,200000.0,200000.0,0.2246832397573024,-0.2506406169851851,0.16076949501889384,-0.4460185420793192,2,5,0.0,0.0,1.0,0.0
17 SERASPI CT,95834,CA,SACRAMENTO,0,0,0,2008-05-21T00:00:00Z,206000.0,38.631481,-121.50188,206000.0,206000.0,0.2314764180476632,-0.2062672622402604,0.0,-1.5425353754173043,2,5,0.0,0.0,1.0,0.0
170 PENHOW CIR,95834,CA,SACRAMENTO,3,2,1511,2008-05-21T00:00:00Z,208000.0,38.653439,-121.535169,208000.0,208000.0,0.2337408108111168,-0.19147614399195206,0.2595328065956716,0.2275895553238233,2,5,0.0,0.0,1.0,0.0
8345 STAR THISTLE WAY,95823,CA,SACRAMENTO,4,2,1590,2008-05-21T00:00:00Z,212864.0,38.454349,-121.439239,212864.0,212864.0,0.239247814011836,-0.15550414441206653,0.27310202679491585,0.32013745044529857,2,5,0.0,0.0,1.0,0.0
9080 FRESCA WAY,95758,CA,ELK GROVE,4,2,1596,2008-05-21T00:00:00Z,221000.0,38.427818,-121.424026,221000.0,221000.0,0.2484593637735653,-0.09533387537794867,0.2741326004809344,0.32716640450515744,2,6,0.0,0.0,1.0,0.0
391 NATALINO CIR,95835,CA,SACRAMENTO,2,2,1341,2008-05-21T00:00:00Z,221000.0,38.67307,-121.506373,221000.0,221000.0,0.2484593637735653,-0.09533387537794867,0.23033321882514604,0.02843585696115509,2,6,0.0,0.0,1.0,0.0
8373 BLACKMAN WAY,95624,CA,ELK GROVE,5,3,2136,2008-05-21T00:00:00Z,223058.0,38.435436,-121.39453600000002,223058.0,223058.0,0.250789423927159,-0.0801138147004395,0.3668842322226039,0.9597722698924565,2,6,0.0,0.0,1.0,0.0
9837 CORTE DORADO CT,95624,CA,ELK GROVE,4,2,1616,2008-05-21T00:00:00Z,227887.0,38.400676,-121.38101,227887.0,227887.0,0.2562568002545177,-0.044400659689899286,0.2775678461009962,0.3505962513713537,2,6,0.0,0.0,1.0,0.0
5037 J PKWY,95823,CA,SACRAMENTO,3,2,1478,2008-05-21T00:00:00Z,231477.0,38.491399,-121.443547,231477.0,231477.0,0.260321385264917,-0.017850602434186017,0.2538646513225696,0.18893030799459948,2,6,0.0,0.0,1.0,0.0
10245 LOS PALOS DR,95670,CA,RANCHO CORDOVA,3,2,1287,2008-05-21T00:00:00Z,234697.0,38.593699,-121.31089,234697.0,234697.0,0.2639670576140773,0.005963097945590232,0.22105805565097905,-0.03482472957757482,2,6,0.0,0.0,1.0,0.0
6613 NAVION DR,95621,CA,CITRUS HEIGHTS,4,2,1277,2008-05-21T00:00:00Z,,38.702855,-121.31308,179974.0,183918.0,0.20200987501684145,-0.3987440840054953,0.21934043284094806,-0.04653965301067295,2,4,0.0,0.0,1.0,0.0
2887 AZEVEDO DR,95833,CA,SACRAMENTO,4,2,1448,2008-05-21T00:00:00Z,236000.0,38.618457,-121.509439,236000.0,236000.0,0.2654423094994673,0.015599511484363044,0.2487117828924768,0.1537855376953051,2,6,0.0,0.0,1.0,0.0
9186 KINBRACE CT,95829,CA,SACRAMENTO,4,3,2235,2008-05-21T00:00:00Z,236685.0,38.463355,-121.358936,236685.0,236685.0,0.26621786402095016,0.02066546948440861,0.38388869804191,1.075750011880128,2,6,0.0,0.0,1.0,0.0
4243 MIDDLEBURY WAY,95655,CA,MATHER,3,2,2093,2008-05-21T00:00:00Z,237800.0,38.547991,-121.280483,237800.0,237800.0,0.2674802629865756,0.02891151790784045,0.35949845413947096,0.9093980991301346,2,6,0.0,0.0,1.0,0.0
1028 FALLON PLACE CT,95673,CA,RIO LINDA,3,2,1193,2008-05-21T00:00:00Z,,38.693818,-121.441153,167111.41666666663,150250.0,0.1874469047071819,-0.4938700795365216,0.2049124012366884,-0.14494500984869724,1,4,0.0,0.0,1.0,0.0
4804 NORIKER DR,95757,CA,ELK GROVE,3,2,2163,2008-05-21T00:00:00Z,242638.0,38.400974,-121.448424,242638.0,242638.0,0.27295782908136984,0.06469123295049806,0.3715218138096874,0.9914025631618214,2,7,0.0,0.0,1.0,0.0
7713 HARVEST WOODS DR,95828,CA,SACRAMENTO,3,2,1269,2008-05-21T00:00:00Z,244000.0,38.478198,-121.412911,244000.0,244000.0,0.2744998805532817,0.07476398447759595,0.2179663345929234,-0.055911591757151456,2,7,0.0,0.0,1.0,0.0
2866 KARITSA AVE,95833,CA,SACRAMENTO,0,0,0,2008-05-21T00:00:00Z,244500.0,38.626671,-121.52597,244500.0,244500.0,0.2750659787441451,0.07846176403967302,0.0,-1.5425353754173043,2,7,0.0,0.0,1.0,0.0
6913 RICHEVE WAY,95828,CA,SACRAMENTO,3,1,958,2008-05-21T00:00:00Z,244960.0,38.502519,-121.420769,244960.0,244960.0,0.27558678907973944,0.0818637212367839,0.16454826520096186,-0.42024571052650334,2,7,0.0,0.0,1.0,0.0
8636 TEGEA WAY,95624,CA,ELK GROVE,5,3,2508,2008-05-21T00:00:00Z,245918.0,38.443832,-121.382087,245918.0,245918.0,0.2766714332134337,0.08894866687772354,0.4307798007557541,1.395567421603707,2,7,0.0,0.0,1.0,0.0
5448 MAIDSTONE WAY,95621,CA,CITRUS HEIGHTS,3,2,1305,2008-05-21T00:00:00Z,250000.0,38.665395,-121.293288,250000.0,250000.0,0.2812930588436425,0.11913733922252065,0.2241497767090347,-0.013737867397998182,2,7,0.0,0.0,1.0,0.0
18 OLLIE CT,95758,CA,ELK GROVE,4,2,1591,2008-05-21T00:00:00Z,250000.0,38.444909,-121.412345,250000.0,250000.0,0.2812930588436425,0.11913733922252065,0.2732737890759189,0.3213089427886084,2,7,0.0,0.0,1.0,0.0
4010 ALEX LN,95608,CA,CARMICHAEL,2,2,1326,2008-05-21T00:00:00Z,250134.0,38.637028,-121.31296299999998,250134.0,250134.0,0.281444773158794,0.12012834414515727,0.2277567846100997,0.010863471811507892,2,7,1.0,0.0,0.0,0.0
4901 MILLNER WAY,95757,CA,ELK GROVE,3,2,1843,2008-05-21T00:00:00Z,254200.0,38.38692,-121.447349,254200.0,254200.0,0.2860482836468951,0.15019868754396792,0.31655788388869804,0.6165250133026813,2,7,0.0,0.0,1.0,0.0
4818 BRITTNEY LEE CT,95841,CA,SACRAMENTO,4,2,1921,2008-05-21T00:00:00Z,254200.0,38.653917,-121.34218,254200.0,254200.0,0.2860482836468951,0.15019868754396792,0.3299553418069392,0.7079014160808467,2,7,0.0,0.0,1.0,0.0
5529 LAGUNA PARK DR,95758,CA,ELK GROVE,5,3,2790,2008-05-21T00:00:00Z,258000.0,38.42568,-121.43806200000002,258000.0,258000.0,0.29035062989745697,0.17830181221575356,0.4792167639986259,1.7259282624170742,2,7,0.0,0.0,1.0,0.0
230 CANDELA CIR,95835,CA,SACRAMENTO,3,2,1541,2008-05-21T00:00:00Z,260000.0,38.656251,-121.547572,260000.0,260000.0,0.2926150226609106,0.19309293046406176,0.26468567502576434,0.2627343256231177,2,7,0.0,0.0,1.0,0.0
4900 71ST ST,95820,CA,SACRAMENTO,3,1,1018,2008-05-21T00:00:00Z,260014.0,38.53151,-121.421089,260014.0,260014.0,0.29263087341025473,0.1931964682918,0.17485400206114735,-0.34995616992791456,2,7,0.0,0.0,1.0,0.0
12209 CONSERVANCY WAY,95742,CA,RANCHO CORDOVA,0,0,0,2008-05-21T00:00:00Z,263500.0,38.553867,-121.219141,263500.0,263500.0,0.2965777099969544,0.2189773873986012,0.0,-1.5425353754173043,2,7,0.0,0.0,1.0,0.0
4236 NATOMAS CENTRAL DR,95834,CA,SACRAMENTO,3,2,1672,2008-05-21T00:00:00Z,265000.0,38.648879,-121.544023,265000.0,265000.0,0.2982760045695446,0.23007072608483234,0.28718653383716936,0.4161998225967032,2,7,1.0,0.0,0.0,0.0
5615 LUPIN LN,95726,CA,POLLOCK PINES,3,2,1380,2008-05-21T00:00:00Z,265000.0,38.708315,-120.603872,265000.0,265000.0,0.2982760045695446,0.23007072608483234,0.23703194778426656,0.0741240583502378,2,7,0.0,0.0,1.0,0.0
5625 JAMES WAY,95822,CA,SACRAMENTO,3,1,975,2008-05-21T00:00:00Z,271742.0,38.523947,-121.484946,271742.0,271742.0,0.3059092725751467,0.27993158569987936,0.16746822397801442,-0.4003303406902365,2,7,0.0,0.0,1.0,0.0
