street,city,state,zip,beds,baths,sq__ft,type,sale_date,price,latitude,longitude
8373 BLACKMAN WAY,ELK GROVE,CA,95624,5,3,2136,Residential,2008-05-21T00:00:00Z,223058,38.435436,-121.394536
9837 CORTE DORADO CT,ELK GROVE,CA,95624,4,2,1616,Residential,2008-05-21T00:00:00Z,227887,38.400676,-121.38101
9837 CORTE DORADO CT,ELK GROVE,CA,95624,4,2,1616,Residential,2008-05-21T00:00:00Z,227887,38.400676,-121.38101
5037 J PKWY,SACRAMENTO,CA,95823,3,2,1478,Residential,2008-05-21T00:00:00Z,231477,38.491399,-121.443547
10245 LOS PALOS DR,RANCHO CORDOVA,CA,95670,3,2,1287,Residential,2008-05-21T00:00:00Z,234697,38.593699,-121.31089
6613 NAVION DR,CITRUS HEIGHTS,CA,95621,4,2,1277,Residential,2008-05-21T00:00:00Z,,38.702855,-121.31308
2887 AZEVEDO DR,SACRAMENTO,CA,95833,4,2,1448,Residential,2008-05-21T00:00:00Z,236000,38.618457,-121.509439
9186 KINBRACE CT,SACRAMENTO,CA,95829,4,3,2235,Residential,2008-05-21T00:00:00Z,236685,38.463355,-121.358936
4243 MIDDLEBURY WAY,MATHER,CA,95655,3,2,2093,Residential,2008-05-21T00:00:00Z,237800,38.547991,-121.280483
1028 FALLON PLACE CT,RIO LINDA,CA,95673,3,2,1193,Residential,2008-05-21T00:00:00Z,,38.693818,-121.441153
4804 NORIKER DR,ELK GROVE,CA,95757,3,2,2163,Residential,2008-05-21T00:00:00Z,242638,38.400974,-121.448424
7713 HARVEST WOODS DR,SACRAMENTO,CA,95828,3,2,1269,Residential,2008-05-21T00:00:00Z,244000,38.478198,-121.412911
2866 KARITSA AVE,SACRAMENTO,CA,95833,0,0,0,Residential,2008-05-21T00:00:00Z,244500,38.626671,-121.52597
6913 RICHEVE WAY,SACRAMENTO,CA,95828,3,1,958,Residential,2008-05-21T00:00:00Z,244960,38.502519,-121.420769
8636 TEGEA WAY,ELK GROVE,CA,95624,5,3,2508,Residential,2008-05-21T00:00:00Z,245918,38.443832,-121.382087
5448 MAIDSTONE WAY,CITRUS HEIGHTS,CA,95621,3,2,1305,Residential,2008-05-21T00:00:00Z,250000,38.665395,-121.293288
18 OLLIE CT,ELK GROVE,CA,95758,4,2,1591,Residential,2008-05-21T00:00:00Z,250000,38.444909,-121.412345
4010 ALEX LN,CARMICHAEL,CA,95608,2,2,1326,Condo,2008-05-21T00:00:00Z,250134,38.637028,-121.312963
4901 MILLNER WAY,ELK GROVE,CA,95757,3,2,1843,Residential,2008-05-21T00:00:00Z,254200,38.38692,-121.447349
4818 BRITTNEY LEE CT,SACRAMENTO,CA,95841,4,2,1921,Residential,2008-05-21T00:00:00Z,254200,38.653917,-121.34218
4818 BRITTNEY LEE CT,SACRAMENTO,CA,95841,4,2,1921,Residential,2008-05-21T00:00:00Z,254200,38.653917,-121.34218
5529 LAGUNA PARK DR,ELK GROVE,CA,95758,5,3,2790,Residential,2008-05-21T00:00:00Z,258000,38.42568,-121.438062
230 CANDELA CIR,SACRAMENTO,CA,95835,3,2,1541,Residential,2008-05-21T00:00:00Z,260000,38.656251,-121.547572
4900 71ST ST,SACRAMENTO,CA,95820,3,1,1018,Residential,2008-05-21T00:00:00Z,260014,38.53151,-121.421089
12209 CONSERVANCY WAY,RANCHO CORDOVA,CA,95742,0,0,0,Residential,2008-05-21T00:00:00Z,263500,38.553867,-121.219141
4236 NATOMAS CENTRAL DR,SACRAMENTO,CA,95834,3,2,1672,Condo,2008-05-21T00:00:00Z,265000,38.648879,-121.544023
5615 LUPIN LN,POLLOCK PINES,CA,95726,3,2,1380,Residential,2008-05-21T00:00:00Z,265000,38.708315,-120.603872
5625 JAMES WAY,SACRAMENTO,CA,95822,3,1,975,Residential,2008-05-21T00:00:00Z,271742,38.523947,-121.484946
7842 LAHONTAN CT,SACRAMENTO,CA,95829,4,3,2372,Residential,2008-05-21T00:00:00Z,273750,38.472976,-121.318633
6850 21ST ST,SACRAMENTO,CA,95822,3,2,1446,Residential,2008-05-21T00:00:00Z,275086,38.502194,-121.490795
2900 BLAIR RD,POLLOCK PINES,CA,95726,2,2,1284,Residential,2008-05-21T00:00:00Z,280908,38.75485,-120.60476
2064 EXPEDITION WAY,SACRAMENTO,CA,95832,4,3,3009,Residential,2008-05-21T00:00:00Z,280987,38.474099,-121.490711
2912 NORCADE CIR,SACRAMENTO,CA,95826,8,4,3612,Multi-Family,2008-05-21T00:00:00Z,282400,38.559505,-121.364839
9507 SEA CLIFF WAY,ELK GROVE,CA,95758,4,2,2056,Residential,2008-05-21T00:00:00Z,285000,38.410992,-121.479043
9507 SEA CLIFF WAY,ELK GROVE,CA,95758,4,2,2056,Residential,2008-05-21T00:00:00Z,285000,38.410992,-121.479043
8882 AUTUMN GOLD CT,ELK GROVE,CA,95624,4,2,1993,Residential,2008-05-21T00:00:00Z,287417,38.4439,-121.37255
5322 WHITE LOTUS WAY,ELK GROVE,CA,95757,3,2,1857,Residential,2008-05-21T00:00:00Z,291000,38.391538,-121.442596
1838 CASTRO WAY,SACRAMENTO,CA,95818,2,1,1126,Residential,2008-05-21T00:00:00Z,292024,38.556098,-121.490787
10158 CRAWFORD WAY,SACRAMENTO,CA,95827,4,4,2213,Multi-Family,2008-05-21T00:00:00Z,297000,38.5703,-121.315735
7731 MASTERS ST,ELK GROVE,CA,95758,5,3,2494,Residential,2008-05-21T00:00:00Z,297000,38.442031,-121.410873
4925 PERCHERON DR,ELK GROVE,CA,95757,3,2,1843,Residential,2008-05-21T00:00:00Z,298000,38.40154,-121.447649
2010 PROMONTORY POINT LN,GOLD RIVER,CA,95670,2,2,1520,Residential,2008-05-21T00:00:00Z,299000,38.62869,-121.261669
4727 SAVOIE WAY,SACRAMENTO,CA,95835,5,3,2800,Residential,2008-05-21T00:00:00Z,304037,38.658182,-121.549521
8664 MAGNOLIA HILL WAY,ELK GROVE,CA,95624,4,2,2309,Residential,2008-05-21T00:00:00Z,311000,38.442352,-121.389675
9570 HARVEST ROSE WAY,SACRAMENTO,CA,95827,5,3,2367,Residential,2008-05-21T00:00:00Z,315537,38.555993,-121.340352
9570 HARVEST ROSE WAY,SACRAMENTO,CA,95827,5,3,2367,Residential,2008-05-21T00:00:00Z,315537,38.555993,-121.340352
4359 CREGAN CT,RANCHO CORDOVA,CA,95742,5,4,3516,Residential,2008-05-21T00:00:00Z,320000,38.545128,-121.224922
5337 DUSTY ROSE WAY,RANCHO CORDOVA,CA,95742,0,0,0,Residential,2008-05-21T00:00:00Z,320000,38.528575,-121.2286
5337 DUSTY ROSE WAY,RANCHO CORDOVA,CA,95742,0,0,0,Residential,2008-05-21T00:00:00Z,320000,38.528575,-121.2286
8929 SUTTERS GOLD DR,SACRAMENTO,CA,95826,4,3,1914,Residential,2008-05-21T00:00:00Z,328360,38.550848,-121.370224
8025 PEERLESS AVE,ORANGEVALE,CA,95662,2,1,1690,Residential,2008-05-21T00:00:00Z,334150,38.71147,-121.216214
4620 WELERA WAY,ELK GROVE,CA,95757,3,3,2725,Residential,2008-05-21T00:00:00Z,335750,38.398609,-121.450148
9723 TERRAPIN CT,ELK GROVE,CA,95757,4,3,2354,Residential,2008-05-21T00:00:00Z,335750,38.403492,-121.430224
2115 SMOKESTACK WAY,SACRAMENTO,CA,95833,0,0,0,Residential,2008-05-21T00:00:00Z,339500,38.602416,-121.542965
100 REBECCA WAY,FOLSOM,CA,95630,3,2,2185,Residential,2008-05-21T00:00:00Z,344250,38.68479,-121.149199
9488 OAK VILLAGE WAY,ELK GROVE,CA,95758,4,2,1801,Residential,2008-05-21T00:00:00Z,346210,38.41333,-121.404999
8495 DARTFORD DR,SACRAMENTO,CA,95823,3,3,1961,Residential,2008-05-21T00:00:00Z,347029,38.448507,-121.421346
8495 DARTFORD DR,SACRAMENTO,CA,95823,3,3,1961,Residential,2008-05-21T00:00:00Z,347029,38.448507,-121.421346
6708 PONTA DO SOL WAY,ELK GROVE,CA,95757,4,2,3134,Residential,2008-05-21T00:00:00Z,347650,38.380635,-121.425538
4143 SEA MEADOW WAY,SACRAMENTO,CA,95823,4,3,1915,Residential,2008-05-21T00:00:00Z,351300,38.46534,-121.457519
3020 RICHARDSON CIR,EL DORADO HILLS,CA,95762,3,2,0,Residential,2008-05-21T00:00:00Z,352000,38.691299,-121.081752
8082 LINDA ISLE LN,SACRAMENTO,CA,95831,0,0,0,Residential,2008-05-21T00:00:00Z,370000,38.4772,-121.5215
15300 MURIETA SOUTH PKWY,RANCHO MURIETA,CA,95683,4,3,2734,Residential,2008-05-21T00:00:00Z,370500,38.4874,-121.075129
11215 SHARRMONT CT,WILTON,CA,95693,3,2,2110,Residential,2008-05-21T00:00:00Z,372000,38.35062,-121.228349
7105 DANBERG WAY,ELK GROVE,CA,95757,5,3,3164,Residential,2008-05-21T00:00:00Z,375000,38.4019,-121.420388
5579 JERRY LITELL WAY,SACRAMENTO,CA,95835,5,3,3599,Residential,2008-05-21T00:00:00Z,381300,38.677126,-121.500519
5579 JERRY LITELL WAY,SACRAMENTO,CA,95835,5,3,3599,Residential,2008-05-21T00:00:00Z,381300,38.677126,-121.500519
1050 FOXHALL WAY,SACRAMENTO,CA,95831,4,2,2054,Residential,2008-05-21T00:00:00Z,381942,38.509819,-121.519661
7837 ABBINGTON WAY,ANTELOPE,CA,95843,4,2,1830,Residential,2008-05-21T00:00:00Z,387731,38.709873,-121.339472
1300 F ST,SACRAMENTO,CA,95814,3,3,1627,Residential,2008-05-21T00:00:00Z,391000,38.58355,-121.487289
1300 F ST,SACRAMENTO,CA,95814,3,3,1627,Residential,2008-05-21T00:00:00Z,391000,38.58355,-121.487289
6801 RAWLEY WAY,ELK GROVE,CA,95757,4,3,3440,Residential,2008-05-21T00:00:00Z,394470,38.408351,-121.423925
1693 SHELTER COVE DR,GREENWOOD,CA,95635,3,2,2846,Residential,2008-05-21T00:00:00Z,395000,38.945357,-120.908822
9361 WADDELL LN,ELK GROVE,CA,95624,4,3,2359,Residential,2008-05-21T00:00:00Z,400186,38.450829,-121.349928
10 SEA FOAM CT,SACRAMENTO,CA,95831,3,3,2052,Residential,2008-05-21T00:00:00Z,415000,38.487885,-121.545947
6945 RIO TEJO WAY,ELK GROVE,CA,95757,5,3,3433,Residential,2008-05-21T00:00:00Z,425000,38.385638,-121.422616
4186 TULIP PARK WAY,RANCHO CORDOVA,CA,95742,5,3,3615,Residential,2008-05-21T00:00:00Z,430000,38.550617,-121.23526
9278 DAIRY CT,ELK GROVE,CA,95624,0,0,0,Residential,2008-05-21T00:00:00Z,445000,38.420338,-121.363757
207 ORANGE BLOSSOM CIR Unit C,FOLSOM,CA,95630,5,3,2687,Residential,2008-05-21T00:00:00Z,460000,38.646273,-121.175322
6507 RIO DE ONAR WAY,ELK GROVE,CA,95757,4,3,2724,Residential,2008-05-21T00:00:00Z,461000,38.38253,-121.428007
7004 RAWLEY WAY,ELK GROVE,CA,95757,4,3,3440,Residential,2008-05-21T00:00:00Z,489332,38.406421,-121.422081
6503 RIO DE ONAR WAY,ELK GROVE,CA,95757,5,4,3508,Residential,2008-05-21T00:00:00Z,510000,38.38253,-121.428038
2217 APPALOOSA CT,FOLSOM,CA,95630,4,2,2462,Residential,2008-05-21T00:00:00Z,539000,38.655167,-121.090178
868 HILDEBRAND CIR,FOLSOM,CA,95630,0,0,0,Residential,2008-05-21T00:00:00Z,,38.670947,-121.097727
868 HILDEBRAND CIR,FOLSOM,CA,95630,0,0,0,Residential,2008-05-21T00:00:00Z,,38.670947,-121.097727
6030 PALERMO WAY,EL DORADO HILLS,CA,95762,4,3,0,Residential,2008-05-21T00:00:00Z,,38.672761,-121.050378
4070 REDONDO DR,EL DORADO HILLS,CA,95762,4,3,0,Residential,2008-05-21T00:00:00Z,606238,38.666807,-121.06483
4004 CRESTA WAY,SACRAMENTO,CA,95864,3,3,2325,Residential,2008-05-21T00:00:00Z,,38.591618,-121.370626
4004 CRESTA WAY,SACRAMENTO,CA,95864,3,3,2325,Residential,2008-05-21T00:00:00Z,,38.591618,-121.370626
315 JUMEL CT,EL DORADO HILLS,CA,95762,6,5,0,Residential,2008-05-21T00:00:00Z,830000,38.669931,-121.05958
6272 LONGFORD DR Unit 1,CITRUS HEIGHTS,CA,95621,2,1,795,Condo,2008-05-20T00:00:00Z,69000,38.680923,-121.313945
3432 Y ST,SACRAMENTO,CA,95817,4,2,1099,Residential,2008-05-20T00:00:00Z,70000,38.554967,-121.468046
3432 Y ST,SACRAMENTO,CA,95817,4,2,1099,Residential,2008-05-20T00:00:00Z,70000,38.554967,-121.468046
9512 EMERALD PARK DR Unit 3,ELK GROVE,CA,95624,2,1,840,Condo,2008-05-20T00:00:00Z,71000,38.40573,-121.369832
3132 CLAY ST,SACRAMENTO,CA,95815,2,1,800,Residential,2008-05-20T00:00:00Z,78000,38.624678,-121.439203
5221 38TH AVE,SACRAMENTO,CA,95824,2,1,746,Residential,2008-05-20T00:00:00Z,78400,38.518044,-121.443555
6112 HERMOSA ST,SACRAMENTO,CA,95822,3,1,1067,Residential,2008-05-20T00:00:00Z,,38.515125,-121.480416
483 ARCADE BLVD,SACRAMENTO,CA,95815,4,2,1316,Residential,2008-05-20T00:00:00Z,89000,38.623571,-121.454884
671 SONOMA AVE,SACRAMENTO,CA,95815,3,1,1337,Residential,2008-05-20T00:00:00Z,90000,38.622953,-121.450142
671 SONOMA AVE,SACRAMENTO,CA,95815,3,1,1337,Residential,2008-05-20T00:00:00Z,90000,38.622953,-121.450142
5980 79TH ST,SACRAMENTO,CA,95824,2,1,868,Residential,2008-05-20T00:00:00Z,90000,38.518373,-121.411779
5980 79TH ST,SACRAMENTO,CA,95824,2,1,868,Residential,2008-05-20T00:00:00Z,90000,38.518373,-121.411779
7607 ELDER CREEK RD,SACRAMENTO,CA,95824,3,1,924,Residential,2008-05-20T00:00:00Z,92000,38.51055,-121.414768
5028 14TH AVE,SACRAMENTO,CA,95820,2,1,610,Residential,2008-05-20T00:00:00Z,93675,38.53942,-121.446894
14788 NATCHEZ CT,RANCHO MURIETA,CA,95683,0,0,0,Residential,2008-05-20T00:00:00Z,97750,38.492287,-121.100032
14788 NATCHEZ CT,RANCHO MURIETA,CA,95683,0,0,0,Residential,2008-05-20T00:00:00Z,97750,38.492287,-121.100032
1069 ACACIA AVE,SACRAMENTO,CA,95815,2,1,1220,Residential,2008-05-20T00:00:00Z,98000,38.621998,-121.442238
5201 LAGUNA OAKS DR Unit 199,ELK GROVE,CA,95758,1,1,722,Condo,2008-05-20T00:00:00Z,98000,38.423251,-121.444489
3847 LAS PASAS WAY,SACRAMENTO,CA,95864,3,1,1643,Residential,2008-05-20T00:00:00Z,,38.588672,-121.373916
3847 LAS PASAS WAY,SACRAMENTO,CA,95864,3,1,1643,Residential,2008-05-20T00:00:00Z,,38.588672,-121.373916
