,flow
1931-09-30,0.965605
1931-10-31,0.311485
1931-11-30,0.195953
1931-12-31,0.090331
1932-01-31,0.08042
1932-02-29,0.06796
1932-03-31,0.065695
1932-04-30,0.042475
1932-05-31,0.042475
1932-06-30,0.035396
1932-07-31,0.030582
1932-08-31,4.530696
1932-09-30,5.266934
1932-10-31,1.217625
1932-11-30,0.314317
1932-12-31,0.229933
1933-01-31,0.189157
1933-02-28,0.14923
1933-03-31,0.116665
1933-04-30,0.05097
1933-05-31,0.031715
1933-06-30,0.005947
1933-07-31,0.215208
1933-08-31,8.296837
1933-09-30,7.135846
1933-10-31,1.840595
1933-11-30,0.229366
1933-12-31,0.167069
1934-01-31,0.101941
1934-02-28,0.189723
1934-03-31,0.138753
1934-04-30,0.070792
1934-05-31,0.064846
1934-06-30,0.039644
1934-07-31,0.761723
1934-08-31,1.676358
1934-09-30,0.937288
1934-10-31,0.294495
1934-11-30,0.168485
1934-12-31,0.082119
1935-01-31,0.072491
1935-02-28,0.048988
1935-03-31,0.032848
1935-04-30,0.015291
1935-05-31,0.011044
1935-06-30,0.007079
1935-07-31,0.007362
1935-08-31,0.334139
1935-09-30,2.551348
1935-10-31,0.498377
1935-11-30,0.203881
1935-12-31,0.098259
1936-01-31,0.0572
1936-02-29,0.049554
1936-03-31,0.038228
1936-04-30,0.026335
1936-05-31,0.009628
1936-06-30,0.024919
1936-07-31,1.639546
1936-08-31,7.503965
1936-09-30,2.423922
1936-10-31,0.413426
1936-11-30,0.225968
1936-12-31,0.152628
1937-01-31,0.106755
1937-02-28,0.060598
1937-03-31,0.041626
1937-04-30,0.025485
1937-05-31,0.009628
1937-06-30,0.021238
1937-07-31,0.014158
1937-08-31,0.80703
1937-09-30,1.240278
1937-10-31,0.47006
1937-11-30,0.12516
1937-12-31,0.042758
1938-01-31,0.031998
1938-02-28,0.044457
1938-03-31,0.054935
1938-04-30,0.035113
1938-05-31,0.022653
1938-06-30,0.008778
1938-07-31,0.007079
1938-08-31,5.408518
1938-09-30,7.560599
1938-10-31,4.898815
1938-11-30,1.282753
1938-12-31,0.467228
1939-01-31,0.258816
1939-02-28,0.246923
1939-03-31,0.139602
1939-04-30,0.091463
1939-05-31,0.069659
1939-06-30,0.119214
1939-07-31,0.724911
1939-08-31,4.162577
1939-09-30,2.616477
1939-10-31,1.29408
1939-11-30,0.249471
1939-12-31,0.15376
1940-01-31,0.145832
1940-02-29,0.127426
1940-03-31,0.100525
1940-04-30,0.048988
1940-05-31,0.035396
1940-06-30,0.047855
1940-07-31,0.06343
1940-08-31,2.463566
1940-09-30,3.001586
1940-10-31,0.656951
1940-11-30,0.225685
1940-12-31,0.095428
1941-01-31,0.050121
1941-02-28,0.048139
1941-03-31,0.034547
1941-04-30,0.023503
1941-05-31,0.015008
1941-06-30,0.015291
1941-07-31,0.012176
1941-08-31,0.25117
1941-09-30,1.877407
1941-10-31,0.574832
1941-11-30,0.26901
1941-12-31,0.18321
1942-01-31,0.450238
1942-02-28,0.385109
1942-03-31,0.175281
1942-04-30,0.095428
1942-05-31,0.048139
1942-06-30,0.035396
1942-07-31,1.231783
1942-08-31,8.551689
1942-09-30,10.33565
1942-10-31,2.647625
1942-11-30,1.313902
1942-12-31,0.580495
1943-01-31,0.447406
1943-02-28,0.317149
1943-03-31,0.203032
1943-04-30,0.124594
1943-05-31,0.101374
1943-06-30,0.291664
1943-07-31,3.001586
1943-08-31,5.238617
1943-09-30,12.204562
1943-10-31,3.05822
1943-11-30,1.110021
1943-12-31,0.569169
1944-01-31,0.370951
1944-02-29,0.236163
1944-03-31,0.186042
1944-04-30,0.104206
1944-05-31,0.050687
1944-06-30,0.041909
1944-07-31,0.061731
1944-08-31,5.66337
1944-09-30,8.240203
1944-10-31,4.247528
1944-11-30,1.356377
1944-12-31,0.761723
1945-01-31,0.427584
1945-02-28,0.263064
1945-03-31,0.147814
1945-04-30,0.107038
1945-05-31,0.085517
1945-06-30,0.06881
1945-07-31,0.06343
1945-08-31,1.514951
1945-09-30,7.815451
1945-10-31,2.143586
1945-11-30,0.688099
1945-12-31,0.430416
1946-01-31,0.322812
1946-02-28,0.256267
1946-03-31,0.15999
1946-04-30,0.094578
1946-05-31,0.058333
1946-06-30,0.048988
1946-07-31,2.030318
1946-08-31,4.67228
1946-09-30,6.484559
1946-10-31,3.482973
1946-11-30,1.203466
1946-12-31,0.79004
1947-01-31,0.682436
1947-02-28,0.461565
1947-03-31,0.209262
1947-04-30,0.121762
1947-05-31,0.082968
1947-06-30,0.455901
1947-07-31,1.543268
1947-08-31,10.618819
1947-09-30,9.061392
1947-10-31,3.313071
1947-11-30,1.319565
1947-12-31,0.945783
1948-01-31,0.682436
1948-02-29,0.291664
1948-03-31,0.152061
1948-04-30,0.099958
1948-05-31,0.075606
1948-06-30,0.054935
1948-07-31,0.744733
1948-08-31,8.240203
1948-09-30,11.836443
1948-10-31,4.474062
1948-11-30,1.948199
1948-12-31,0.99109
1949-01-31,0.727743
1949-02-28,0.413426
1949-03-31,0.282885
1949-04-30,0.148663
1949-05-31,0.065695
1949-06-30,0.06343
1949-07-31,1.220456
1949-08-31,7.390698
1949-09-30,5.776637
1949-10-31,1.860417
1949-11-30,0.707921
1949-12-31,0.444575
1950-01-31,0.314317
1950-02-28,0.235313
1950-03-31,0.150646
1950-04-30,0.068527
1950-05-31,0.055784
1950-06-30,0.050687
1950-07-31,0.12063
1950-08-31,5.550103
1950-09-30,12.289513
1950-10-31,4.247528
1950-11-30,2.146417
1950-12-31,0.906139
1951-01-31,0.58899
1951-02-28,0.362456
1951-03-31,0.237862
1951-04-30,0.177263
1951-05-31,0.106755
1951-06-30,0.112984
1951-07-31,0.300159
1951-08-31,6.994262
1951-09-30,7.164163
1951-10-31,2.644794
1951-11-30,1.118516
1951-12-31,0.673941
1952-01-31,0.438911
1952-02-29,0.308654
1952-03-31,0.208129
1952-04-30,0.125727
1952-05-31,0.078721
1952-06-30,0.068244
1952-07-31,2.106774
1952-08-31,11.808126
1952-09-30,5.181984
1952-10-31,1.86608
1952-11-30,0.858001
1952-12-31,0.427584
1953-01-31,0.291664
1953-02-28,0.281753
1953-03-31,0.1716
1953-04-30,0.112418
1953-05-31,0.062297
1953-06-30,0.051253
1953-07-31,0.060032
1953-08-31,2.607982
1953-09-30,12.374463
1953-10-31,2.140754
1953-11-30,0.741901
1953-12-31,0.334139
1954-01-31,0.291664
1954-02-28,0.188873
1954-03-31,0.161689
1954-04-30,0.081269
1954-05-31,0.118081
1954-06-30,0.086083
1954-07-31,0.06881
1954-08-31,3.001586
1954-09-30,4.813865
1954-10-31,1.707506
1954-11-30,0.53802
1954-12-31,0.373782
1955-01-31,0.244658
1955-02-28,0.207846
1955-03-31,0.164804
1955-04-30,0.089481
1955-05-31,0.059749
1955-06-30,0.060315
1955-07-31,0.043891
1955-08-31,3.05822
1955-09-30,7.249114
1955-10-31,2.443744
1955-11-30,0.603149
1955-12-31,0.297327
1956-01-31,0.243242
1956-02-29,0.176697
1956-03-31,0.105622
1956-04-30,0.064279
1956-05-31,0.039644
1956-06-30,0.028317
1956-07-31,0.041909
1956-08-31,4.105943
1956-09-30,3.426339
1956-10-31,0.617307
1956-11-30,0.246357
1956-12-31,0.156875
1957-01-31,0.10364
1957-02-28,0.051537
1957-03-31,0.044457
1957-04-30,0.028317
1957-05-31,0.028317
1957-06-30,0.0286
1957-07-31,0.020954
1957-08-31,4.559013
1957-09-30,6.427925
1957-10-31,1.925546
1957-11-30,0.413426
1957-12-31,0.311485
1958-01-31,0.219739
1958-02-28,0.147248
1958-03-31,0.112418
1958-04-30,0.061731
1958-05-31,0.038794
1958-06-30,0.029166
1958-07-31,0.030016
1958-08-31,2.973269
1958-09-30,2.279506
1958-10-31,0.948614
1958-11-30,0.300159
1958-12-31,0.159707
1959-01-31,0.078155
1959-02-28,0.039644
1959-03-31,0.053802
1959-04-30,0.05805
1959-05-31,0.052103
1959-06-30,0.039077
1959-07-31,0.036812
1959-08-31,3.001586
1959-09-30,11.355057
1959-10-31,2.800536
1959-11-30,0.614476
1959-12-31,0.402099
1960-01-31,0.472891
1960-02-29,0.351129
1960-03-31,0.222854
1960-04-30,0.139602
1960-05-31,0.05805
1960-06-30,0.099958
1960-07-31,0.855169
1960-08-31,4.559013
1960-09-30,5.181984
1960-10-31,1.101525
1960-11-30,0.410594
1960-12-31,0.278921
