,american_flow,columbia_flow
1938-10-31,59.4937,54.65
1938-11-30,16.2822,30.3
1938-12-31,13.762,24.89
1939-01-31,19.3404,23.19
1939-02-28,26.901,19.03
1939-03-31,28.0054,21.86
1939-04-30,30.6388,39.36
1939-05-31,43.7779,156.31
1939-06-30,108.7367,220.02
1939-07-31,147.3326,286.0
1939-08-31,73.1424,203.88
1939-09-30,22.2004,90.33
1939-10-31,4.6723,66.26
1939-11-30,3.0016,50.12
1939-12-31,3.0582,34.83
1940-01-31,12.9691,21.44
1940-02-29,14.6115,22.68
1940-03-31,19.5669,27.64
1940-04-30,220.8148,35.11
1940-05-31,301.5745,137.62
1940-06-30,390.2062,268.16
1940-07-31,295.9111,256.55
1940-08-31,227.6675,168.77
1940-09-30,91.5484,120.35
1940-10-31,20.7846,66.26
1940-11-30,10.9586,32.85
1940-12-31,11.6099,28.6
1941-01-31,11.9214,21.83
1941-02-28,26.6462,18.35
1941-03-31,121.7341,25.15
1941-04-30,165.512,37.94
1941-05-31,247.2344,99.96
1941-06-30,212.4047,206.71
1941-07-31,214.9532,217.19
1941-08-31,323.6616,152.06
1941-09-30,131.3619,74.47
1941-10-31,37.3499,52.1
1941-11-30,12.9974,36.53
1941-12-31,10.0242,31.15
1942-01-31,13.4505,22.82
1942-02-28,30.4689,23.02
1942-03-31,154.695,24.83
1942-04-30,274.2487,33.98
1942-05-31,292.2299,118.65
1942-06-30,140.31,258.53
1942-07-31,297.6101,319.98
1942-08-31,328.7586,209.83
1942-09-30,259.4673,89.76
1942-10-31,68.0171,53.52
1942-11-30,15.3194,32.85
1942-12-31,10.7038,26.67
1943-01-31,10.1941,21.55
1943-02-28,77.4749,21.01
1943-03-31,134.7033,26.19
1943-04-30,325.0774,65.13
1943-05-31,199.6904,88.35
1943-06-30,435.5132,194.54
1943-07-31,284.8675,334.14
1943-08-31,202.2106,215.77
1943-09-30,122.8102,80.14
1943-10-31,36.0473,51.54
1943-11-30,9.9109,29.45
1943-12-31,7.0226,23.33
1944-01-31,12.0913,20.1
1944-02-29,17.3865,19.43
1944-03-31,22.0871,20.08
1944-04-30,35.3111,27.33
1944-05-31,79.1739,87.5
1944-06-30,115.023,220.31
1944-07-31,108.1421,172.17
1944-08-31,212.2914,156.03
1944-09-30,88.2636,91.75
1944-10-31,17.8962,53.52
1944-11-30,6.0881,34.55
1944-12-31,6.343,19.91
1945-01-31,12.6859,17.05
1945-02-28,61.6741,17.02
1945-03-31,65.6101,16.88
1945-04-30,51.3384,22.14
1945-05-31,288.8319,66.83
1945-06-30,119.3272,210.96
1945-07-31,194.3952,242.96
1945-08-31,253.1526,150.08
1945-09-30,129.493,74.47
1945-10-31,29.7893,41.34
1945-11-30,7.6455,30.3
1945-12-31,7.5889,18.32
1946-01-31,18.7741,14.19
1946-02-28,72.8876,16.48
1946-03-31,248.9617,24.95
1946-04-30,141.0462,33.7
1946-05-31,77.1068,164.52
1946-06-30,157.8381,334.14
1946-07-31,242.2223,308.65
1946-08-31,246.1301,189.72
1946-09-30,91.8315,114.12
1946-10-31,21.3226,50.69
1946-11-30,8.2119,30.02
1946-12-31,10.6471,24.55
1947-01-31,15.7725,24.44
1947-02-28,47.3458,24.27
1947-03-31,47.2891,28.6
1947-04-30,29.8743,51.25
1947-05-31,88.6317,188.87
1947-06-30,135.751,325.64
1947-07-31,135.3545,311.49
1947-08-31,111.4551,167.92
1947-09-30,41.1161,97.98
1947-10-31,7.7022,78.15
1947-11-30,5.0687,43.89
1947-12-31,4.2192,29.45
1948-01-31,22.8234,25.94
1948-02-29,25.116999999999997,25.54
1948-03-31,18.8307,23.59
1948-04-30,81.86399999999999,35.68
1948-05-31,41.5691,144.7
1948-06-30,72.8309,455.9
1948-07-31,248.452,274.67
1948-08-31,287.6992,180.38
1948-09-30,209.0067,92.6
1948-10-31,36.7553,44.46
1948-11-30,8.7216,30.02
1948-12-31,6.796,24.44
1949-01-31,12.9125,20.73
1949-02-28,23.8145,17.84
1949-03-31,33.6687,20.64
1949-04-30,30.6955,35.68
1949-05-31,51.6216,152.63
1949-06-30,167.5508,223.42
1949-07-31,241.2879,163.67
1949-08-31,238.3146,133.94
1949-09-30,73.5955,73.62
1949-10-31,10.5056,39.64
1949-11-30,5.2103,30.3
1949-12-31,4.6723,20.84
1950-01-31,6.9943,15.72
1950-02-28,16.7353,18.21
1950-03-31,17.8113,23.64
1950-04-30,145.8035,29.17
1950-05-31,177.7732,70.79
1950-06-30,159.5655,297.33
1950-07-31,278.9776,416.26
1950-08-31,270.9639,218.32
1950-09-30,151.665,123.74
1950-10-31,33.8103,53.52
1950-11-30,7.9287,32.56
1950-12-31,9.5994,29.17
1951-01-31,26.1081,25.63
1951-02-28,465.8122,25.6
1951-03-31,491.5805,26.5
1951-04-30,273.73900000000003,50.4
1951-05-31,221.4095,198.78
1951-06-30,199.3223,288.83
1951-07-31,202.2106,404.93
1951-08-31,210.4225,242.96
1951-09-30,71.047,105.34
1951-10-31,17.6414,73.91
1951-11-30,8.3252,43.32
1951-12-31,7.7022,31.15
1952-01-31,19.4254,25.8
1952-02-29,53.8303,23.87
1952-03-31,153.9587,24.3
1952-04-30,256.0126,46.16
1952-05-31,275.4097,157.44
1952-06-30,231.1221,286.0
1952-07-31,389.3567,279.77
1952-08-31,515.3667,186.61
1952-09-30,314.317,86.65
1952-10-31,109.8127,52.39
1952-11-30,26.0232,27.21
1952-12-31,14.8947,23.84
1953-01-31,12.9691,24.61
1953-02-28,15.7159,24.47
1953-03-31,55.2745,24.13
1953-04-30,216.2841,25.51
1953-05-31,80.0801,103.64
1953-06-30,106.8112,291.66
1953-07-31,222.4572,331.31
1953-08-31,225.2889,195.67
1953-09-30,237.9182,92.31
1953-10-31,72.9442,55.5
1953-11-30,12.6576,39.93
1953-12-31,11.44,26.11
1954-01-31,15.8291,25.23
1954-02-28,30.0442,24.72
1954-03-31,39.8701,25.34
1954-04-30,64.704,30.87
1954-05-31,112.2763,146.4
1954-06-30,207.9023,351.13
1954-07-31,260.1186,506.87
1954-08-31,165.0306,288.83
1954-09-30,49.2996,167.35
1954-10-31,12.600999999999999,68.24
1954-11-30,6.881,50.12
1954-12-31,9.8543,36.53
1955-01-31,12.2329,24.52
1955-02-28,22.0588,24.07
1955-03-31,60.8529,20.05
1955-04-30,75.5777,33.41
1955-05-31,51.8482,67.68
1955-06-30,46.8361,294.5
1955-07-31,31.4317,396.44
1955-08-31,119.9502,213.51
1955-09-30,106.6696,105.62
1955-10-31,50.3757,54.65
1955-11-30,61.1078,36.53
1955-12-31,29.9309,25.4
1956-01-31,22.7101,25.71
1956-02-29,15.5743,21.04
1956-03-31,415.9745,22.54
1956-04-30,463.2637,60.31
1956-05-31,157.5266,188.87
1956-06-30,152.9676,467.23
1956-07-31,112.7577,345.47
1956-08-31,180.6615,208.7
1956-09-30,191.4502,99.68
1956-10-31,120.8563,60.31
1956-11-30,112.3613,34.26
1956-12-31,66.3464,30.58
1957-01-31,38.0012,26.25
1957-02-28,55.6992,26.31
1957-03-31,46.0149,22.14
1957-04-30,32.5361,27.1
1957-05-31,47.6289,256.55
1957-06-30,193.1209,370.95
1957-07-31,93.3323,237.86
1957-08-31,147.814,139.32
1957-09-30,123.8579,84.67
1957-10-31,85.9416,61.45
1957-11-30,92.6811,36.81
1957-12-31,70.3674,26.59
1958-01-31,52.2446,25.88
1958-02-28,62.6086,25.74
1958-03-31,32.7343,26.14
1958-04-30,56.5487,28.88
1958-05-31,247.6592,178.11
1958-06-30,235.93599999999998,396.44
1958-07-31,425.3191,258.82
1958-08-31,312.9012,185.48
1958-09-30,233.5007,93.16
1958-10-31,105.7351,62.58
1958-11-30,103.1866,28.32
1958-12-31,89.2547,27.64
1959-01-31,45.7034,23.28
1959-02-28,44.3159,21.41
1959-03-31,43.3248,24.15
1959-04-30,30.6388,35.96
1959-05-31,75.4644,141.87
1959-06-30,84.9789,359.62
1959-07-31,33.5555,402.1
1959-08-31,29.8743,232.48
1959-09-30,60.5414,152.63
1959-10-31,115.5044,87.5
1959-11-30,94.6915,58.33
1959-12-31,35.481,40.49
1960-01-31,17.8962,33.13
1960-02-29,19.4537,28.15
1960-03-31,17.4715,36.53
1960-04-30,16.622,58.33
1960-05-31,76.3139,97.41
1960-06-30,107.15100000000001,274.39
1960-07-31,89.2264,379.45
1960-08-31,53.8303,184.06
1960-09-30,81.8074,103.07
1960-10-31,95.3428,57.77
1960-11-30,67.0543,36.53
1960-12-31,34.9713,26.39
